SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,0.85119677,0.23243542,wh-ngap,1
2,at,0.15815328,2.6606047,wh-ngap,1
3,at,0.82508487,0.27738556,wh-ngap,1
4,at,0.20525037,2.2845433,wh-ngap,1
5,at,0.6339184,0.6576309,wh-ngap,1
6,at,0.5520438,0.85714537,wh-ngap,1
7,at,0.7251168,0.46371472,wh-ngap,1
8,at,0.80796075,0.30764288,wh-ngap,1
9,at,0.5924098,0.7553326,wh-ngap,1
10,at,0.47909907,1.0616041,wh-ngap,1
1,at,0.8990771,0.15348323,wh-gap,1
2,at,0.6115401,0.709481,wh-gap,1
3,at,0.8897637,0.16850583,wh-gap,1
4,at,0.8493698,0.23553523,wh-gap,1
5,at,0.8804704,0.1836536,wh-gap,1
6,at,0.73137283,0.45132107,wh-gap,1
7,at,0.014649714,6.0929837,wh-gap,1
8,at,0.87171996,0.19806336,wh-gap,1
9,at,0.73656034,0.44112435,wh-gap,1
10,at,0.018966476,5.7204046,wh-gap,1
1,at,0.62988794,0.6668329,nwh-ngap,1
2,at,0.25194052,1.9888449,nwh-ngap,1
3,at,0.77060026,0.37594542,nwh-ngap,1
4,at,0.65118027,0.6188711,nwh-ngap,1
5,at,0.63848895,0.64726645,nwh-ngap,1
6,at,0.5217675,0.938521,nwh-ngap,1
7,at,0.65848875,0.60276926,nwh-ngap,1
8,at,0.65834796,0.60307777,nwh-ngap,1
9,at,0.4263159,1.2300053,nwh-ngap,1
10,at,0.22377956,2.15985,nwh-ngap,1
1,at,0.15088138,2.7285132,nwh-gap,1
2,at,0.0016287891,9.261985,nwh-gap,1
3,at,0.13879643,2.8489575,nwh-gap,1
4,at,0.21190663,2.2384994,nwh-gap,1
5,at,0.08298392,3.5910244,nwh-gap,1
6,at,0.0020591803,8.923714,nwh-gap,1
7,at,0.11501119,3.120154,nwh-gap,1
8,at,0.004525225,7.7877946,nwh-gap,1
9,at,0.025363464,5.3011045,nwh-gap,1
10,at,0.0034096565,8.196157,nwh-gap,1
1,at,0.8219315,0.28290996,wh-ngap,2
2,at,0.36154738,1.4677434,wh-ngap,2
3,at,0.9116423,0.13346021,wh-ngap,2
4,at,0.56339365,0.8277848,wh-ngap,2
5,at,0.69865906,0.51733947,wh-ngap,2
6,at,0.6784407,0.5597054,wh-ngap,2
7,at,0.6673943,0.5833888,wh-ngap,2
8,at,0.7458121,0.42311585,wh-ngap,2
9,at,0.65176463,0.617577,wh-ngap,2
10,at,0.5652428,0.8230573,wh-ngap,2
1,at,0.8951808,0.15974897,wh-gap,2
2,at,0.6418,0.63980436,wh-gap,2
3,at,0.936009,0.095405705,wh-gap,2
4,at,0.8562205,0.22394574,wh-gap,2
5,at,0.90534306,0.14346352,wh-gap,2
6,at,0.8152132,0.29475066,wh-gap,2
7,at,0.2883592,1.7940611,wh-gap,2
8,at,0.8904921,0.1673253,wh-gap,2
9,at,0.76877433,0.37936792,wh-gap,2
10,at,0.01950806,5.6797857,wh-gap,2
1,at,0.82312906,0.28080943,nwh-ngap,2
2,at,0.41771305,1.2594159,nwh-ngap,2
3,at,0.8695148,0.20171747,nwh-ngap,2
4,at,0.81565905,0.29396188,nwh-ngap,2
5,at,0.7958186,0.32948843,nwh-ngap,2
6,at,0.5925925,0.7548878,nwh-ngap,2
7,at,0.63573956,0.6534922,nwh-ngap,2
8,at,0.7960652,0.32904148,nwh-ngap,2
9,at,0.5659856,0.8211627,nwh-ngap,2
10,at,0.36830065,1.4410441,nwh-ngap,2
1,at,0.13512455,2.8876383,nwh-gap,2
2,at,0.0054154615,7.5287,nwh-gap,2
3,at,0.4864195,1.039727,nwh-gap,2
4,at,0.46066064,1.1182238,nwh-gap,2
5,at,0.19119781,2.386862,nwh-gap,2
6,at,0.024152767,5.371668,nwh-gap,2
7,at,0.14896299,2.7469742,nwh-gap,2
8,at,0.0057979375,7.4302444,nwh-gap,2
9,at,0.023873135,5.3884683,nwh-gap,2
10,at,0.0020011219,8.964975,nwh-gap,2
1,at,0.86921537,0.2022144,wh-ngap,3
2,at,0.47959492,1.0601118,wh-ngap,3
3,at,0.934364,0.09794337,wh-ngap,3
4,at,0.7672406,0.38224906,wh-ngap,3
5,at,0.86156034,0.21497625,wh-ngap,3
6,at,0.6795933,0.5572564,wh-ngap,3
7,at,0.7437007,0.427206,wh-ngap,3
8,at,0.7784999,0.36123124,wh-ngap,3
9,at,0.72474015,0.46446428,wh-ngap,3
10,at,0.6311423,0.6639627,wh-ngap,3
1,at,0.92917645,0.1059755,wh-gap,3
2,at,0.46918392,1.0917745,wh-gap,3
3,at,0.9380234,0.0923042,wh-gap,3
4,at,0.87996274,0.18448566,wh-gap,3
5,at,0.94255704,0.085348174,wh-gap,3
6,at,0.78827214,0.3432343,wh-gap,3
7,at,0.32467163,1.6229467,wh-gap,3
8,at,0.45550957,1.1344467,wh-gap,3
9,at,0.79974353,0.32239068,wh-gap,3
10,at,0.43414852,1.2037394,wh-gap,3
1,at,0.8737461,0.19471398,nwh-ngap,3
2,at,0.44930968,1.154218,nwh-ngap,3
3,at,0.9496402,0.07454707,nwh-ngap,3
4,at,0.8840145,0.17785808,nwh-ngap,3
5,at,0.85630834,0.22379771,nwh-ngap,3
6,at,0.50819045,0.9765588,nwh-ngap,3
7,at,0.69727576,0.52019876,nwh-ngap,3
8,at,0.8368167,0.2570164,nwh-ngap,3
9,at,0.58884543,0.7640391,nwh-ngap,3
10,at,0.55308986,0.8544142,nwh-ngap,3
1,at,0.42685747,1.2281736,nwh-gap,3
2,at,0.006781036,7.2042785,nwh-gap,3
3,at,0.81895983,0.2881354,nwh-gap,3
4,at,0.8207128,0.28505063,nwh-gap,3
5,at,0.33704418,1.5689903,nwh-gap,3
6,at,0.12270563,3.0267267,nwh-gap,3
7,at,0.15940978,2.649188,nwh-gap,3
8,at,0.0076444754,7.031367,nwh-gap,3
9,at,0.036504064,4.7757993,nwh-gap,3
10,at,0.01848343,5.7576237,nwh-gap,3
1,at,0.90751004,0.14001448,wh-ngap,4
2,at,0.558818,0.83954966,wh-ngap,4
3,at,0.9180896,0.12329309,wh-ngap,4
4,at,0.8482517,0.23743567,wh-ngap,4
5,at,0.87348753,0.19514099,wh-ngap,4
6,at,0.7121675,0.4897115,wh-ngap,4
7,at,0.60468405,0.7257466,wh-ngap,4
8,at,0.77586555,0.3661214,wh-ngap,4
9,at,0.7670326,0.38264015,wh-ngap,4
10,at,0.6435232,0.6359359,wh-ngap,4
1,at,0.9111763,0.13419783,wh-gap,4
2,at,0.25904983,1.9486984,wh-gap,4
3,at,0.8327011,0.2641294,wh-gap,4
4,at,0.8981507,0.15497059,wh-gap,4
5,at,0.8957785,0.15878609,wh-gap,4
6,at,0.6921161,0.53091407,wh-gap,4
7,at,0.18949862,2.3997407,wh-gap,4
8,at,0.058077764,4.1058702,wh-gap,4
9,at,0.7513217,0.41249737,wh-gap,4
10,at,0.08679271,3.5262823,wh-gap,4
1,at,0.9129893,0.13133012,nwh-ngap,4
2,at,0.5009746,0.99719065,nwh-ngap,4
3,at,0.9548668,0.06662856,nwh-ngap,4
4,at,0.8745108,0.19345185,nwh-ngap,4
5,at,0.85914224,0.21903108,nwh-ngap,4
6,at,0.6107666,0.7113069,nwh-ngap,4
7,at,0.7042312,0.5058789,nwh-ngap,4
8,at,0.8067753,0.30976123,nwh-ngap,4
9,at,0.64997035,0.6215542,nwh-ngap,4
10,at,0.57778496,0.7913954,nwh-ngap,4
1,at,0.71082675,0.49243012,nwh-gap,4
2,at,0.0107497135,6.539558,nwh-gap,4
3,at,0.69496554,0.5249866,nwh-gap,4
4,at,0.8290534,0.27046305,nwh-gap,4
5,at,0.5231598,0.9346764,nwh-gap,4
6,at,0.20387663,2.2942317,nwh-gap,4
7,at,0.21091247,2.2452836,nwh-gap,4
8,at,0.011999523,6.380879,nwh-gap,4
9,at,0.08022343,3.6398325,nwh-gap,4
10,at,0.032102168,4.9611855,nwh-gap,4
1,at,0.21674001,2.2059627,wh-ngap,1
2,at,0.25940946,1.946697,wh-ngap,1
3,at,0.27333847,1.8712395,wh-ngap,1
4,at,0.071403295,3.8078656,wh-ngap,1
5,at,0.011002135,6.5060725,wh-ngap,1
6,at,0.26774576,1.9010644,wh-ngap,1
7,at,0.21241416,2.235048,wh-ngap,1
8,at,0.65872353,0.602255,wh-ngap,1
9,at,0.4301691,1.2170242,wh-ngap,1
10,at,0.17175563,2.5415707,wh-ngap,1
1,at,0.33683416,1.5698897,wh-gap,1
2,at,0.28895673,1.7910746,wh-gap,1
3,at,0.31037512,1.6879151,wh-gap,1
4,at,0.4730341,1.0799838,wh-gap,1
5,at,0.013376298,6.2241774,wh-gap,1
6,at,0.29475224,1.7624253,wh-gap,1
7,at,0.38587433,1.373797,wh-gap,1
8,at,0.66756284,0.58302444,wh-gap,1
9,at,0.5096267,0.9724873,wh-gap,1
10,at,0.09398013,3.4115005,wh-gap,1
1,at,0.1916246,2.3836453,nwh-ngap,1
2,at,0.1274312,2.9722095,nwh-ngap,1
3,at,0.27672693,1.8534651,nwh-ngap,1
4,at,0.23984233,2.0598419,nwh-ngap,1
5,at,0.11940143,3.066108,nwh-ngap,1
6,at,0.13326362,2.9076452,nwh-ngap,1
7,at,0.222449,2.1684535,nwh-ngap,1
8,at,0.42662293,1.2289666,nwh-ngap,1
9,at,0.23709458,2.0764654,nwh-ngap,1
10,at,0.11117795,3.1690574,nwh-ngap,1
1,at,0.20449546,2.2898593,nwh-gap,1
2,at,0.0065177777,7.261404,nwh-gap,1
3,at,0.384011,1.3807805,nwh-gap,1
4,at,0.0014328863,9.44686,nwh-gap,1
5,at,0.025208276,5.309959,nwh-gap,1
6,at,0.003939887,7.98763,nwh-gap,1
7,at,0.23211724,2.1070745,nwh-gap,1
8,at,0.039017666,4.6797285,nwh-gap,1
9,at,0.049080405,4.348709,nwh-gap,1
10,at,0.00043165506,11.177834,nwh-gap,1
1,at,0.18076263,2.4678316,wh-ngap,2
2,at,0.2005107,2.318249,wh-ngap,2
3,at,0.38464287,1.3784086,wh-ngap,2
4,at,0.1996779,2.3242536,wh-ngap,2
5,at,0.03379202,4.8871737,wh-ngap,2
6,at,0.30359244,1.7197922,wh-ngap,2
7,at,0.18213543,2.4569166,wh-ngap,2
8,at,0.5243098,0.93150854,wh-ngap,2
9,at,0.47478813,1.0746442,wh-ngap,2
10,at,0.1608925,2.6358309,wh-ngap,2
1,at,0.27250922,1.8756231,wh-gap,2
2,at,0.30049065,1.7346079,wh-gap,2
3,at,0.4092808,1.2888371,wh-gap,2
4,at,0.40978664,1.2870551,wh-gap,2
5,at,0.011587405,6.4312987,wh-gap,2
6,at,0.28230387,1.8246791,wh-gap,2
7,at,0.2848406,1.8117732,wh-gap,2
8,at,0.62929887,0.66818273,wh-gap,2
9,at,0.4911949,1.0256325,wh-gap,2
10,at,0.14255188,2.810441,wh-gap,2
1,at,0.22802727,2.1327217,nwh-ngap,2
2,at,0.14841346,2.7523062,nwh-ngap,2
3,at,0.36668274,1.4473958,nwh-ngap,2
4,at,0.30081192,1.7330663,nwh-ngap,2
5,at,0.15833235,2.658972,nwh-ngap,2
6,at,0.19514492,2.3573823,nwh-ngap,2
7,at,0.29100668,1.7808758,nwh-ngap,2
8,at,0.44284064,1.1751405,nwh-ngap,2
9,at,0.34032544,1.5550131,nwh-ngap,2
10,at,0.18397126,2.4424477,nwh-ngap,2
1,at,0.23510939,2.0885959,nwh-gap,2
2,at,0.0033362533,8.227555,nwh-gap,2
3,at,0.37216875,1.4259712,nwh-gap,2
4,at,0.001230912,9.666057,nwh-gap,2
5,at,0.07365925,3.7629895,nwh-gap,2
6,at,0.0043333895,7.8502884,nwh-gap,2
7,at,0.21287975,2.2318895,nwh-gap,2
8,at,0.031055413,5.0090113,nwh-gap,2
9,at,0.32551625,1.6191986,nwh-gap,2
10,at,0.004901602,7.672531,nwh-gap,2
1,at,0.24444734,2.0324044,wh-ngap,3
2,at,0.24154955,2.049609,wh-ngap,3
3,at,0.36455578,1.4557885,wh-ngap,3
4,at,0.35339198,1.5006588,wh-ngap,3
5,at,0.027609318,5.178701,wh-ngap,3
6,at,0.3171573,1.6567296,wh-ngap,3
7,at,0.23043293,2.1175811,wh-ngap,3
8,at,0.5809319,0.783559,wh-ngap,3
9,at,0.53360856,0.9061463,wh-ngap,3
10,at,0.24951144,2.0028222,wh-ngap,3
1,at,0.30005535,1.7366995,wh-gap,3
2,at,0.3987685,1.3263766,wh-gap,3
3,at,0.352962,1.5024153,wh-gap,3
4,at,0.15437858,2.6954556,wh-gap,3
5,at,0.0033024685,8.24224,wh-gap,3
6,at,0.29256767,1.7731577,wh-gap,3
7,at,0.3176572,1.6544573,wh-gap,3
8,at,0.59186244,0.7566662,wh-gap,3
9,at,0.61307544,0.7058635,wh-gap,3
10,at,0.1278837,2.9670956,wh-gap,3
1,at,0.26228788,1.930777,nwh-ngap,3
2,at,0.22968647,2.1222622,nwh-ngap,3
3,at,0.4069397,1.2971132,nwh-ngap,3
4,at,0.31500852,1.6665373,nwh-ngap,3
5,at,0.12177785,3.0376763,nwh-ngap,3
6,at,0.28255686,1.8233869,nwh-ngap,3
7,at,0.2611235,1.9371958,nwh-ngap,3
8,at,0.53996426,0.8890642,nwh-ngap,3
9,at,0.35219532,1.5055523,nwh-ngap,3
10,at,0.20243044,2.3045018,nwh-ngap,3
1,at,0.2198258,2.1855674,nwh-gap,3
2,at,0.0037678075,8.052059,nwh-gap,3
3,at,0.34884083,1.5193591,nwh-gap,3
4,at,0.0025209375,8.631824,nwh-gap,3
5,at,0.050024267,4.321228,nwh-gap,3
6,at,0.0049048923,7.6715627,nwh-gap,3
7,at,0.28640178,1.8038876,nwh-gap,3
8,at,0.05746681,4.121127,nwh-gap,3
9,at,0.18047822,2.4701033,nwh-gap,3
10,at,0.04536654,4.4622273,nwh-gap,3
1,at,0.32074872,1.6404846,wh-ngap,4
2,at,0.26650545,1.907763,wh-ngap,4
3,at,0.36439067,1.4564421,wh-ngap,4
4,at,0.38638335,1.3718951,wh-ngap,4
5,at,0.20475797,2.2880085,wh-ngap,4
6,at,0.30336976,1.7208508,wh-ngap,4
7,at,0.21907155,2.190526,wh-ngap,4
8,at,0.5418545,0.8840226,wh-ngap,4
9,at,0.52501786,0.9295616,wh-ngap,4
10,at,0.29307762,1.7706453,wh-ngap,4
1,at,0.33664104,1.570717,wh-gap,4
2,at,0.3850662,1.3768215,wh-gap,4
3,at,0.30347118,1.7203686,wh-gap,4
4,at,0.005760561,7.4395747,wh-gap,4
5,at,0.0143420445,6.1236057,wh-gap,4
6,at,0.29276162,1.7722017,wh-gap,4
7,at,0.27974224,1.83783,wh-gap,4
8,at,0.5915357,0.75746286,wh-gap,4
9,at,0.5772913,0.7926286,wh-gap,4
10,at,0.113616705,3.137753,wh-gap,4
