SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,yesterday,7.2906478e-06,17.065521,wh-ngap,1
2,today,0.0014494396,9.430289,wh-ngap,1
3,repeatedly,3.589216e-07,21.409828,wh-ngap,1
4,then,4.810422e-05,14.343477,wh-ngap,1
5,again,0.0009380387,10.058065,wh-ngap,1
6,yesterday,9.897975e-06,16.624435,wh-ngap,1
7,today,0.034954347,4.838384,wh-ngap,1
8,repeatedly,9.6885e-06,16.655294,wh-ngap,1
9,then,0.036248017,4.785954,wh-ngap,1
10,again,0.0010369284,9.913468,wh-ngap,1
1,yesterday,0.0035610748,8.1334715,wh-gap,1
2,today,0.032093123,4.961592,wh-gap,1
3,repeatedly,2.1771883e-05,15.487174,wh-gap,1
4,then,0.022336612,5.484446,wh-gap,1
5,again,0.0084532425,6.8862796,wh-gap,1
6,then,0.010553928,6.5660763,wh-gap,1
7,today,0.00020334295,12.263798,wh-gap,1
8,repeatedly,5.141346e-05,14.247495,wh-gap,1
9,then,0.0198251,5.656528,wh-gap,1
10,again,4.1779167e-05,14.546857,wh-gap,1
1,yesterday,2.9865912e-11,34.962708,nwh-ngap,1
2,today,2.1981559e-09,28.761059,nwh-ngap,1
3,repeatedly,1.40902194e-11,36.046516,nwh-ngap,1
4,then,3.4200429e-10,31.445267,nwh-ngap,1
5,again,4.8238182e-09,27.627178,nwh-ngap,1
6,yesterday,2.5472936e-11,35.192245,nwh-ngap,1
7,today,2.2232209e-08,25.422773,nwh-ngap,1
8,repeatedly,3.2404454e-11,34.845016,nwh-ngap,1
9,then,1.5348973e-09,29.279211,nwh-ngap,1
10,again,3.439643e-10,31.437021,nwh-ngap,1
1,yesterday,4.932486e-07,20.951181,nwh-gap,1
2,today,2.4349788e-06,18.64766,nwh-gap,1
3,repeatedly,3.2416958e-09,28.200603,nwh-gap,1
4,then,2.7995694e-07,21.768291,nwh-gap,1
5,again,5.4248045e-07,20.813925,nwh-gap,1
6,yesterday,8.0199663e-07,20.2499,nwh-gap,1
7,today,1.1778801e-07,23.017303,nwh-gap,1
8,repeatedly,3.423353e-08,24.800014,nwh-gap,1
9,then,3.2127002e-07,21.56971,nwh-gap,1
10,again,3.0905332e-07,21.62564,nwh-gap,1
1,again,0.0002705172,11.851992,wh-ngap,2
2,yesterday,0.0008874588,10.138032,wh-ngap,2
3,today,0.014160154,6.1420193,wh-ngap,2
4,repeatedly,6.809691e-07,20.485907,wh-ngap,2
5,then,0.00023308532,12.0668545,wh-ngap,2
6,again,0.0028114414,8.474474,wh-ngap,2
7,yesterday,0.013029802,6.262041,wh-ngap,2
8,today,0.00362911,8.106169,wh-ngap,2
9,repeatedly,0.00051008596,10.936972,wh-ngap,2
10,then,0.031763867,4.9764695,wh-ngap,2
1,again,0.019942513,5.648009,wh-gap,2
2,yesterday,0.0004716892,11.049876,wh-gap,2
3,today,0.026730252,5.225383,wh-gap,2
4,repeatedly,0.00022061738,12.146166,wh-gap,2
5,then,0.001826414,9.09677,wh-gap,2
6,again,0.002803952,8.478323,wh-gap,2
7,yesterday,0.00038843192,11.33005,wh-gap,2
8,today,0.03687754,4.7611136,wh-gap,2
9,repeatedly,0.00015266529,12.6773405,wh-gap,2
10,then,8.563315e-05,13.511471,wh-gap,2
1,again,1.3147378e-10,32.824505,nwh-ngap,2
2,yesterday,1.0400562e-10,33.16262,nwh-ngap,2
3,today,8.645592e-08,23.46346,nwh-ngap,2
4,repeatedly,6.0468214e-11,33.94503,nwh-ngap,2
5,then,9.257289e-09,26.686764,nwh-ngap,2
6,again,1.9024258e-09,28.969513,nwh-ngap,2
7,yesterday,5.2562363e-09,27.503323,nwh-ngap,2
8,today,1.2337267e-08,26.272402,nwh-ngap,2
9,repeatedly,9.446107e-11,33.30149,nwh-ngap,2
10,then,5.95151e-09,27.324097,nwh-ngap,2
1,again,4.6502225e-07,21.036198,nwh-gap,2
2,yesterday,1.84372e-06,19.048948,nwh-gap,2
3,today,7.67197e-07,20.3139,nwh-gap,2
4,repeatedly,2.2387969e-08,25.4127,nwh-gap,2
5,then,7.719005e-07,20.305082,nwh-gap,2
6,again,1.2778161e-06,19.577888,nwh-gap,2
7,yesterday,1.5170973e-07,22.652184,nwh-gap,2
8,today,6.0829225e-06,17.326803,nwh-gap,2
9,repeatedly,6.154033e-09,27.27582,nwh-gap,2
10,then,2.1441708e-06,18.831148,nwh-gap,2
1,again,0.003112927,8.327513,wh-ngap,3
2,yesterday,0.004404053,7.8269525,wh-ngap,3
3,today,0.012478228,6.3244433,wh-ngap,3
4,repeatedly,1.3360237e-06,19.513622,wh-ngap,3
5,then,0.00017805996,12.455349,wh-ngap,3
6,again,0.0027099622,8.527512,wh-ngap,3
7,yesterday,0.0074987393,7.0591364,wh-ngap,3
8,today,0.0036401474,8.101788,wh-ngap,3
9,repeatedly,0.00046868902,11.059081,wh-ngap,3
10,then,0.02353874,5.408819,wh-ngap,3
1,again,0.023982383,5.381881,wh-gap,3
2,yesterday,2.218199e-05,15.460252,wh-gap,3
3,today,0.0013031935,9.583733,wh-gap,3
4,repeatedly,0.00025571926,11.933151,wh-gap,3
5,then,0.00018653182,12.38829,wh-gap,3
6,again,0.002067783,8.9177,wh-gap,3
7,yesterday,0.0014721167,9.407892,wh-gap,3
8,today,3.2595515e-05,14.904967,wh-gap,3
9,repeatedly,8.293843e-06,16.879528,wh-gap,3
10,then,0.0002401979,12.023489,wh-gap,3
1,again,2.550534e-10,31.868483,nwh-ngap,3
2,yesterday,9.312531e-10,30.000107,nwh-ngap,3
3,today,2.4919842e-08,25.25813,nwh-ngap,3
4,repeatedly,4.7285877e-11,34.2998,nwh-ngap,3
5,then,2.7945797e-09,28.414722,nwh-ngap,3
6,again,6.9735475e-09,27.09546,nwh-ngap,3
7,yesterday,9.647888e-09,26.62714,nwh-ngap,3
8,today,4.5749187e-09,27.703608,nwh-ngap,3
9,repeatedly,9.487523e-10,29.97325,nwh-ngap,3
10,then,1.5057749e-08,25.984919,nwh-ngap,3
1,again,2.8735025e-07,21.730686,nwh-gap,3
2,yesterday,1.7576684e-06,19.117907,nwh-gap,3
3,today,5.1098088e-08,24.222155,nwh-gap,3
4,repeatedly,5.9032974e-09,27.335833,nwh-gap,3
5,then,4.5035097e-08,24.404375,nwh-gap,3
6,again,8.396138e-07,20.183771,nwh-gap,3
7,yesterday,6.649144e-07,20.520329,nwh-gap,3
8,today,8.181706e-06,16.899166,nwh-gap,3
9,repeatedly,3.2298573e-08,24.883955,nwh-gap,3
10,then,2.2112822e-06,18.786686,nwh-gap,3
1,again,0.021273557,5.554795,wh-ngap,4
2,yesterday,0.017916244,5.802588,wh-ngap,4
3,today,0.014722794,6.0858045,wh-ngap,4
4,repeatedly,9.696084e-06,16.654167,wh-ngap,4
5,then,0.00039491427,11.306173,wh-ngap,4
6,again,0.0027005572,8.532527,wh-ngap,4
7,yesterday,0.012380449,6.3357925,wh-ngap,4
8,today,0.005796077,7.4307075,wh-ngap,4
9,repeatedly,0.0007888258,10.308005,wh-ngap,4
10,then,0.009239602,6.7579536,wh-ngap,4
1,again,0.0008889147,10.135668,wh-gap,4
2,yesterday,3.572974e-05,14.772515,wh-gap,4
3,today,0.0010455488,9.901524,wh-gap,4
4,repeatedly,1.3493419e-05,16.177385,wh-gap,4
5,then,2.8033599e-05,15.122483,wh-gap,4
6,again,0.00090675877,10.106994,wh-gap,4
7,yesterday,0.0006627324,10.559286,wh-gap,4
8,today,7.130282e-05,13.7756815,wh-gap,4
9,repeatedly,1.026217e-06,19.894234,wh-gap,4
10,then,7.95709e-05,13.617399,wh-gap,4
1,again,3.115901e-09,28.257704,nwh-ngap,4
2,yesterday,2.085644e-09,28.83686,nwh-ngap,4
3,today,7.200102e-08,23.727407,nwh-ngap,4
4,repeatedly,2.3563307e-10,31.982738,nwh-ngap,4
5,then,1.03405e-08,26.527119,nwh-ngap,4
6,again,1.7714772e-08,25.750471,nwh-ngap,4
7,yesterday,5.7445217e-09,27.375166,nwh-ngap,4
8,today,3.8603748e-08,24.626684,nwh-ngap,4
9,repeatedly,1.1251495e-09,29.727236,nwh-ngap,4
