SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,0.6681238,0.5818127,wh-ngap,1
2,at,0.064330705,3.9583488,wh-ngap,1
3,at,0.3416576,1.5493768,wh-ngap,1
4,at,0.184845,2.4356122,wh-ngap,1
5,at,0.24522053,2.0278482,wh-ngap,1
6,at,0.38405743,1.380606,wh-ngap,1
7,at,0.3598268,1.4746255,wh-ngap,1
8,at,0.33523956,1.5767357,wh-ngap,1
9,at,0.00013831918,12.819711,wh-ngap,1
10,at,0.06407228,3.964156,wh-ngap,1
1,at,0.8608635,0.21614358,wh-gap,1
2,at,0.43873924,1.1885643,wh-gap,1
3,at,0.86755925,0.2049658,wh-gap,1
4,at,0.8708771,0.19945897,wh-gap,1
5,at,0.7462652,0.42223972,wh-gap,1
6,at,0.7489961,0.41696993,wh-gap,1
7,at,0.03334852,4.9062333,wh-gap,1
8,at,0.5468946,0.87066525,wh-gap,1
9,at,7.534411e-05,13.696146,wh-gap,1
10,at,0.17182495,2.5409887,wh-gap,1
1,at,0.79869026,0.32429197,nwh-ngap,1
2,at,0.16615292,2.5894165,nwh-ngap,1
3,at,0.8595939,0.2182728,nwh-ngap,1
4,at,0.818637,0.2887042,nwh-ngap,1
5,at,0.7178446,0.47825652,nwh-ngap,1
6,at,0.37554926,1.412926,nwh-ngap,1
7,at,0.47840485,1.063696,nwh-ngap,1
8,at,0.7265723,0.46082178,nwh-ngap,1
9,at,1.2900128e-05,16.242254,nwh-ngap,1
10,at,0.103393085,3.2737885,nwh-ngap,1
1,at,0.05158509,4.276902,nwh-gap,1
2,at,0.004851709,7.687291,nwh-gap,1
3,at,0.04985045,4.3262496,nwh-gap,1
4,at,0.070250124,3.8313553,nwh-gap,1
5,at,0.05648368,4.1460223,nwh-gap,1
6,at,0.00087212207,10.163182,nwh-gap,1
7,at,0.042498905,4.5564303,nwh-gap,1
8,at,0.0029379264,8.410986,nwh-gap,1
9,at,0.00010524837,13.213915,nwh-gap,1
10,at,0.0054552243,7.5181456,nwh-gap,1
1,at,0.87677884,0.18971512,wh-ngap,2
2,at,0.34031263,1.5550674,wh-ngap,2
3,at,0.82935876,0.2699318,wh-ngap,2
4,at,0.42409533,1.2375395,wh-ngap,2
5,at,0.41214132,1.278789,wh-ngap,2
6,at,0.52113205,0.9402791,wh-ngap,2
7,at,0.4910858,1.025953,wh-ngap,2
8,at,0.8163584,0.29272544,wh-ngap,2
9,at,0.448969,1.1553123,wh-ngap,2
10,at,0.2678007,1.9007684,wh-ngap,2
1,at,0.90156627,0.14949456,wh-gap,2
2,at,0.4767306,1.0687538,wh-gap,2
3,at,0.8584748,0.22015232,wh-gap,2
4,at,0.8930794,0.16313964,wh-gap,2
5,at,0.7349047,0.4443709,wh-gap,2
6,at,0.5455022,0.8743431,wh-gap,2
7,at,0.27836993,1.8449247,wh-gap,2
8,at,0.8267945,0.27439928,wh-gap,2
9,at,0.6095194,0.7142559,wh-gap,2
10,at,0.28923175,1.7897022,wh-gap,2
1,at,0.9171777,0.124726854,nwh-ngap,2
2,at,0.24112646,2.052138,nwh-ngap,2
3,at,0.84971905,0.23494218,nwh-ngap,2
4,at,0.85277534,0.22976238,nwh-ngap,2
5,at,0.75496644,0.40551558,nwh-ngap,2
6,at,0.6143534,0.7028593,nwh-ngap,2
7,at,0.51890874,0.94644725,nwh-ngap,2
8,at,0.68913585,0.53713965,nwh-ngap,2
9,at,0.45319736,1.1417886,nwh-ngap,2
10,at,0.29330406,1.769531,nwh-ngap,2
1,at,0.09556505,3.387373,nwh-gap,2
2,at,0.005071736,7.623305,nwh-gap,2
3,at,0.064749695,3.9489827,nwh-gap,2
4,at,0.461165,1.1166451,nwh-gap,2
5,at,0.09956802,3.3281739,nwh-gap,2
6,at,0.09623344,3.377318,nwh-gap,2
7,at,0.13073562,2.9352758,nwh-gap,2
8,at,0.0064652567,7.2730765,nwh-gap,2
9,at,0.009212658,6.762167,nwh-gap,2
10,at,0.0010839788,9.849448,nwh-gap,2
1,at,0.8707183,0.19972205,wh-ngap,3
2,at,0.39261678,1.3488063,wh-ngap,3
3,at,0.9540915,0.06780048,wh-ngap,3
4,at,0.713503,0.4870086,wh-ngap,3
5,at,0.872382,0.19696811,wh-ngap,3
6,at,0.17944558,2.4783816,wh-ngap,3
7,at,0.60657394,0.7212446,wh-ngap,3
8,at,0.87626714,0.19055735,wh-ngap,3
9,at,0.6545854,0.6113466,wh-ngap,3
10,at,0.50379443,0.98909295,wh-ngap,3
1,at,0.8885582,0.1704618,wh-gap,3
2,at,0.34151676,1.5499717,wh-gap,3
3,at,0.87017727,0.20061876,wh-gap,3
4,at,0.91478056,0.12850238,wh-gap,3
5,at,0.82519805,0.27718768,wh-gap,3
6,at,0.095982805,3.3810802,wh-gap,3
7,at,0.18814218,2.4101048,wh-gap,3
8,at,0.8567155,0.2231119,wh-gap,3
9,at,0.6165693,0.6976651,wh-gap,3
10,at,0.46819413,1.0948212,wh-gap,3
1,at,0.9098087,0.13636488,nwh-ngap,3
2,at,0.36831644,1.4409823,nwh-ngap,3
3,at,0.9499552,0.074068576,nwh-ngap,3
4,at,0.8978958,0.15538004,nwh-ngap,3
5,at,0.8840224,0.17784514,nwh-ngap,3
6,at,0.38728353,1.3685379,nwh-ngap,3
7,at,0.6837174,0.5485279,nwh-ngap,3
8,at,0.87889785,0.1862326,nwh-ngap,3
9,at,0.60403126,0.7273049,nwh-ngap,3
10,at,0.5482588,0.8670711,nwh-ngap,3
1,at,0.051273625,4.2856393,nwh-gap,3
2,at,0.0029113702,8.424086,nwh-gap,3
3,at,0.5668959,0.81884426,nwh-gap,3
4,at,0.5764256,0.79479367,nwh-gap,3
5,at,0.27393678,1.8680851,nwh-gap,3
6,at,0.062276542,4.0051675,nwh-gap,3
7,at,0.1531133,2.7073283,nwh-gap,3
8,at,0.007049299,7.1483045,nwh-gap,3
9,at,0.016503183,5.921112,nwh-gap,3
10,at,0.007934816,6.9775877,nwh-gap,3
1,at,0.915892,0.1267506,wh-ngap,4
2,at,0.4380803,1.1907327,wh-ngap,4
3,at,0.95058733,0.07310892,wh-ngap,4
4,at,0.8134668,0.29784465,wh-ngap,4
5,at,0.9022259,0.14843938,wh-ngap,4
6,at,0.32639995,1.6152873,wh-ngap,4
7,them,2.6887212e-05,15.18272,wh-ngap,4
8,at,0.8170784,0.29145357,wh-ngap,4
9,at,0.72450614,0.46493018,wh-ngap,4
10,at,0.5961633,0.7462206,wh-ngap,4
1,at,0.83677053,0.25709605,wh-gap,4
2,at,0.35767436,1.4832814,wh-gap,4
3,at,0.82832384,0.27173316,wh-gap,4
4,at,0.83486706,0.2603816,wh-gap,4
5,at,0.80190325,0.31849992,wh-gap,4
6,at,0.11322241,3.1427686,wh-gap,4
7,at,0.3284263,1.6063584,wh-gap,4
8,at,0.22215281,2.1703756,wh-gap,4
9,at,0.5882268,0.7655556,wh-gap,4
10,at,0.3489685,1.5188313,wh-gap,4
1,at,0.91806763,0.12332765,nwh-ngap,4
2,at,0.3521849,1.5055951,nwh-ngap,4
3,at,0.9555848,0.06554415,nwh-ngap,4
4,at,0.8920574,0.16479152,nwh-ngap,4
5,at,0.89384466,0.16190396,nwh-ngap,4
6,at,0.37626827,1.4101665,nwh-ngap,4
7,at,0.56884557,0.81389105,nwh-ngap,4
8,at,0.7651988,0.38609344,nwh-ngap,4
9,at,0.5925069,0.7550962,nwh-ngap,4
10,at,0.49702382,1.0086131,nwh-ngap,4
1,at,0.32682425,1.6134131,nwh-gap,4
2,at,0.007855545,6.992073,nwh-gap,4
3,at,0.5340536,0.90494347,nwh-gap,4
4,at,0.6609957,0.5972872,nwh-gap,4
5,at,0.3145345,1.6687099,nwh-gap,4
6,at,0.07804175,3.67961,nwh-gap,4
7,at,0.16591011,2.5915263,nwh-gap,4
8,at,0.007783152,7.0054297,nwh-gap,4
9,at,0.039207365,4.6727314,nwh-gap,4
10,at,0.023582214,5.406157,nwh-gap,4
1,at,0.31702515,1.6573308,wh-ngap,1
2,at,0.17727175,2.4959655,wh-ngap,1
3,at,0.38554242,1.3750385,wh-ngap,1
4,at,0.07411558,3.7540793,wh-ngap,1
5,at,0.22253236,2.167913,wh-ngap,1
6,at,0.393669,1.344945,wh-ngap,1
7,at,0.43106866,1.2140105,wh-ngap,1
8,at,0.41093978,1.2830011,wh-ngap,1
9,at,0.00010409768,13.229774,wh-ngap,1
10,at,0.22806594,2.132477,wh-ngap,1
1,at,0.4876461,1.0360936,wh-gap,1
2,at,0.37366545,1.4201809,wh-gap,1
3,at,0.6909542,0.53333795,wh-gap,1
4,at,0.49438033,1.0163068,wh-gap,1
5,at,0.51921517,0.94559556,wh-gap,1
6,at,0.56472164,0.82438815,wh-gap,1
7,at,0.16342178,2.6133277,wh-gap,1
8,at,0.4562492,1.1321061,wh-gap,1
9,at,8.777156e-05,13.475887,wh-gap,1
10,at,0.09801199,3.3508978,wh-gap,1
1,at,0.36485532,1.4546037,nwh-ngap,1
2,at,0.11789881,3.084379,nwh-ngap,1
3,at,0.5684175,0.81497717,nwh-ngap,1
4,at,0.34838244,1.5212562,nwh-ngap,1
5,at,0.3030333,1.7224518,nwh-ngap,1
6,at,0.50805897,0.97693217,nwh-ngap,1
7,at,0.4760897,1.0706947,nwh-ngap,1
8,at,0.4085659,1.2913593,nwh-ngap,1
9,at,5.471285e-06,17.479689,nwh-ngap,1
10,at,0.060740847,4.041189,nwh-ngap,1
1,at,0.0554412,4.172898,nwh-gap,1
2,at,0.0082645435,6.918849,nwh-gap,1
3,at,0.06185719,4.014915,nwh-gap,1
4,at,0.12161486,3.0396085,nwh-gap,1
5,at,0.03850573,4.698783,nwh-gap,1
6,at,0.0024232108,8.688865,nwh-gap,1
7,at,0.1075417,3.217032,nwh-gap,1
8,at,0.0028567484,8.45141,nwh-gap,1
9,at,4.591505e-05,14.410673,nwh-gap,1
10,at,0.0048655113,7.6831927,nwh-gap,1
1,at,0.19338095,2.3704824,wh-ngap,2
2,at,0.24617694,2.0222325,wh-ngap,2
3,at,0.4427966,1.175284,wh-ngap,2
