SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,0.87028027,0.200448,wh-ngap,1
2,at,0.19433029,2.3634174,wh-ngap,1
3,at,0.8358484,0.2586868,wh-ngap,1
4,at,0.45837924,1.1253864,wh-ngap,1
5,at,0.7365971,0.44105235,wh-ngap,1
6,at,0.45366806,1.140291,wh-ngap,1
7,at,0.45994976,1.1204518,wh-ngap,1
8,at,0.87989485,0.18459696,wh-ngap,1
9,at,0.00017707316,12.4633665,wh-ngap,1
10,at,0.72434074,0.46525958,wh-ngap,1
1,at,0.9303757,0.10411468,wh-gap,1
2,at,0.5738916,0.8011499,wh-gap,1
3,at,0.92217183,0.116892494,wh-gap,1
4,at,0.8967664,0.15719584,wh-gap,1
5,at,0.764477,0.38745496,wh-gap,1
6,at,0.80617994,0.3108262,wh-gap,1
7,at,0.005329109,7.55189,wh-gap,1
8,at,0.8256729,0.2763577,wh-gap,1
9,at,3.373442e-05,14.855419,wh-gap,1
10,at,0.030197727,5.049416,wh-gap,1
1,at,0.79869026,0.32429197,nwh-ngap,1
2,at,0.16615292,2.5894165,nwh-ngap,1
3,at,0.8595939,0.2182728,nwh-ngap,1
4,at,0.818637,0.2887042,nwh-ngap,1
5,at,0.7178446,0.47825652,nwh-ngap,1
6,at,0.37554926,1.412926,nwh-ngap,1
7,at,0.47840485,1.063696,nwh-ngap,1
8,at,0.7265723,0.46082178,nwh-ngap,1
9,at,1.2900128e-05,16.242254,nwh-ngap,1
10,at,0.103393085,3.2737885,nwh-ngap,1
1,at,0.05158509,4.276902,nwh-gap,1
2,at,0.004851709,7.687291,nwh-gap,1
3,at,0.04985045,4.3262496,nwh-gap,1
4,at,0.070250124,3.8313553,nwh-gap,1
5,at,0.05648368,4.1460223,nwh-gap,1
6,at,0.00087212207,10.163182,nwh-gap,1
7,at,0.042498905,4.5564303,nwh-gap,1
8,at,0.0029379264,8.410986,nwh-gap,1
9,at,0.00010524837,13.213915,nwh-gap,1
10,at,0.0054552243,7.5181456,nwh-gap,1
1,at,0.90603435,0.14236234,wh-ngap,2
2,at,0.2524525,1.9859161,wh-ngap,2
3,at,0.8364548,0.25764048,wh-ngap,2
4,at,0.49688423,1.0090183,wh-ngap,2
5,at,0.67603594,0.56482816,wh-ngap,2
6,at,0.77836955,0.36147282,wh-ngap,2
7,at,0.46119797,1.1165419,wh-ngap,2
8,at,0.87166333,0.19815707,wh-ngap,2
9,at,0.5938355,0.7518648,wh-ngap,2
10,at,0.48046848,1.0574863,wh-ngap,2
1,at,0.93936074,0.0902488,wh-gap,2
2,at,0.60475594,0.7255751,wh-gap,2
3,at,0.9288915,0.106418036,wh-gap,2
4,at,0.913295,0.1308472,wh-gap,2
5,at,0.78013647,0.3582016,wh-gap,2
6,at,0.83836174,0.25435522,wh-gap,2
7,at,0.12351846,3.0172014,wh-gap,2
8,at,0.9266959,0.10983213,wh-gap,2
9,at,0.76513463,0.38621446,wh-gap,2
10,at,0.15791065,2.6628196,wh-gap,2
1,at,0.9171777,0.124726854,nwh-ngap,2
2,at,0.24112646,2.052138,nwh-ngap,2
3,at,0.84971905,0.23494218,nwh-ngap,2
4,at,0.85277534,0.22976238,nwh-ngap,2
5,at,0.75496644,0.40551558,nwh-ngap,2
6,at,0.6143534,0.7028593,nwh-ngap,2
7,at,0.51890874,0.94644725,nwh-ngap,2
8,at,0.68913585,0.53713965,nwh-ngap,2
9,at,0.45319736,1.1417886,nwh-ngap,2
10,at,0.29330406,1.769531,nwh-ngap,2
1,at,0.09556505,3.387373,nwh-gap,2
2,at,0.005071736,7.623305,nwh-gap,2
3,at,0.064749695,3.9489827,nwh-gap,2
4,at,0.461165,1.1166451,nwh-gap,2
5,at,0.09956802,3.3281739,nwh-gap,2
6,at,0.09623344,3.377318,nwh-gap,2
