SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,yesterday,1.3095365e-05,16.220585,wh-ngap,1
2,today,0.0006135768,10.670468,wh-ngap,1
3,repeatedly,9.290597e-08,23.359653,wh-ngap,1
4,frequently,6.4151897e-07,20.572004,wh-ngap,1
5,again,0.0013304497,9.55387,wh-ngap,1
6,yesterday,3.3694148e-06,18.179071,wh-ngap,1
7,today,0.015950447,5.970259,wh-ngap,1
8,repeatedly,3.108476e-06,18.29536,wh-ngap,1
9,frequently,1.07890614e-07,23.143927,wh-ngap,1
10,again,0.002831105,8.464419,wh-ngap,1
1,yesterday,0.06300058,3.988491,wh-gap,1
2,today,0.0077424045,7.0130024,wh-gap,1
3,repeatedly,3.2278176e-06,18.241009,wh-gap,1
4,frequently,9.382083e-06,16.70166,wh-gap,1
5,again,0.0020749492,8.912708,wh-gap,1
6,yesterday,0.0129143875,6.274877,wh-gap,1
7,today,0.0004963925,10.976231,wh-gap,1
8,repeatedly,6.720637e-06,17.18297,wh-gap,1
9,frequently,1.3881301e-07,22.780354,wh-gap,1
10,again,6.671453e-05,13.871639,wh-gap,1
1,yesterday,1.6570826e-14,45.778347,nwh-ngap,1
2,today,1.0023238e-11,36.53786,nwh-ngap,1
3,repeatedly,1.2592374e-13,42.852516,nwh-ngap,1
4,frequently,1.3815395e-13,42.71879,nwh-ngap,1
5,again,5.695776e-11,34.031315,nwh-ngap,1
6,yesterday,1.4827027e-13,42.616837,nwh-ngap,1
7,today,7.664578e-10,30.281075,nwh-ngap,1
8,repeatedly,7.5139816e-17,53.5632,nwh-ngap,1
9,frequently,3.0832773e-06,18.307104,nwh-ngap,1
10,again,9.9273836e-17,53.161366,nwh-ngap,1
1,yesterday,1.3495448e-08,26.142952,nwh-gap,1
2,today,2.833813e-07,21.750751,nwh-gap,1
3,repeatedly,4.0319206e-10,31.207813,nwh-gap,1
4,frequently,8.5004276e-10,30.131746,nwh-gap,1
5,again,3.740899e-08,24.672039,nwh-gap,1
6,yesterday,1.1055715e-08,26.430632,nwh-gap,1
7,today,3.989431e-09,27.90117,nwh-gap,1
8,repeatedly,5.9906524e-11,33.958496,nwh-gap,1
9,frequently,3.6515198e-06,18.063072,nwh-gap,1
10,again,1.4027371e-09,29.409107,nwh-gap,1
1,yesterday,2.193314e-05,15.476528,wh-ngap,2
2,today,0.00075194007,10.377094,wh-ngap,2
3,repeatedly,2.808897e-06,18.441565,wh-ngap,2
4,frequently,4.885309e-07,20.965048,wh-ngap,2
5,again,0.0012594791,9.632957,wh-ngap,2
6,yesterday,0.0009466,10.044957,wh-ngap,2
7,today,0.013371631,6.224681,wh-ngap,2
8,yesterday,0.00031320183,11.640619,wh-ngap,2
