Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
8.016374,V-sg,N-pl,1
3.26775,V-pl,N-pl,1
9.144075,V-sg,N-pl,1
3.634278,V-pl,N-pl,1
7.1388025,V-sg,N-pl,1
2.7812858,V-pl,N-pl,1
9.064541,V-sg,N-pl,1
4.529008,V-pl,N-pl,1
7.6100736,V-sg,N-pl,1
2.1527236,V-pl,N-pl,1
7.39232,V-sg,N-pl,1
2.0462663,V-pl,N-pl,1
6.5364294,V-sg,N-pl,1
0.18563992,V-pl,N-pl,1
4.59836,V-sg,N-pl,1
0.8037748,V-pl,N-pl,1
4.1150885,V-sg,N-pl,1
0.61921084,V-pl,N-pl,1
5.983578,V-sg,N-pl,1
0.40634432,V-pl,N-pl,1
5.137893,V-sg,N-pl,1
2.2642353,V-pl,N-pl,1
6.228879,V-sg,N-pl,1
0.15729125,V-pl,N-pl,1
5.111456,V-sg,N-pl,1
0.24406733,V-pl,N-pl,1
5.11342,V-sg,N-pl,1
0.22442226,V-pl,N-pl,1
6.0091953,V-sg,N-pl,1
0.8462802,V-pl,N-pl,1
3.3585787,V-sg,N-pl,1
8.384752,V-pl,N-pl,1
6.212004,V-sg,N-pl,1
0.15711154,V-pl,N-pl,1
0.4491661,V-sg,N-pl,1
7.3034425,V-pl,N-pl,1
4.037474,V-sg,N-pl,1
0.49884033,V-pl,N-pl,1
0.3734082,V-sg,N-pl,1
3.4252279,V-pl,N-pl,1
4.845255,V-sg,N-sg,1
13.406868,V-pl,N-sg,1
5.8844643,V-sg,N-sg,1
12.85689,V-pl,N-sg,1
3.0865836,V-sg,N-sg,1
10.645945,V-pl,N-sg,1
7.8644,V-sg,N-sg,1
13.009733,V-pl,N-sg,1
4.2362266,V-sg,N-sg,1
12.458724,V-pl,N-sg,1
3.970349,V-sg,N-sg,1
10.896755,V-pl,N-sg,1
0.20822781,V-sg,N-sg,1
10.65888,V-pl,N-sg,1
0.7512443,V-sg,N-sg,1
10.777681,V-pl,N-sg,1
0.38195723,V-sg,N-sg,1
11.990448,V-pl,N-sg,1
0.32374913,V-sg,N-sg,1
12.321801,V-pl,N-sg,1
0.38991147,V-sg,N-sg,1
10.996914,V-pl,N-sg,1
0.24172208,V-sg,N-sg,1
12.151343,V-pl,N-sg,1
0.21402468,V-sg,N-sg,1
12.264322,V-pl,N-sg,1
0.21165395,V-sg,N-sg,1
10.808943,V-pl,N-sg,1
0.90354395,V-sg,N-sg,1
10.378614,V-pl,N-sg,1
2.258883,V-sg,N-sg,1
11.52305,V-pl,N-sg,1
0.17946711,V-sg,N-sg,1
13.17389,V-pl,N-sg,1
0.24419494,V-sg,N-sg,1
11.953673,V-pl,N-sg,1
0.38173604,V-sg,N-sg,1
11.242107,V-pl,N-sg,1
0.32104015,V-sg,N-sg,1
9.720865,V-pl,N-sg,1
5.6803865,V-sg,N-pl,2
0.52396286,V-pl,N-pl,2
6.2894464,V-sg,N-pl,2
0.6088433,V-pl,N-pl,2
6.3189816,V-sg,N-pl,2
0.43731877,V-pl,N-pl,2
6.483878,V-sg,N-pl,2
0.6504091,V-pl,N-pl,2
6.1048493,V-sg,N-pl,2
0.33327505,V-pl,N-pl,2
6.2723517,V-sg,N-pl,2
0.37794685,V-pl,N-pl,2
3.793096,V-sg,N-pl,2
0.4390326,V-pl,N-pl,2
3.9820306,V-sg,N-pl,2
0.63293403,V-pl,N-pl,2
2.5415688,V-sg,N-pl,2
0.53255814,V-pl,N-pl,2
3.6150784,V-sg,N-pl,2
0.37683785,V-pl,N-pl,2
1.6482818,V-sg,N-pl,2
1.5449864,V-pl,N-pl,2
4.001641,V-sg,N-pl,2
0.37092724,V-pl,N-pl,2
3.0482228,V-sg,N-pl,2
0.61519396,V-pl,N-pl,2
1.1134144,V-sg,N-pl,2
1.831929,V-pl,N-pl,2
3.6363153,V-sg,N-pl,2
0.76838917,V-pl,N-pl,2
0.46037674,V-sg,N-pl,2
3.940612,V-pl,N-pl,2
3.9269505,V-sg,N-pl,2
0.3679278,V-pl,N-pl,2
0.40538847,V-sg,N-pl,2
4.1997604,V-pl,N-pl,2
2.0384939,V-sg,N-pl,2
0.8687589,V-pl,N-pl,2
0.9427225,V-sg,N-pl,2
1.7007903,V-pl,N-pl,2
0.46169123,V-sg,N-sg,2
6.708131,V-pl,N-sg,2
0.5997449,V-sg,N-sg,2
6.089453,V-pl,N-sg,2
0.60558367,V-sg,N-sg,2
4.751184,V-pl,N-sg,2
