Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
6.226902,V-sg,N-pl,1
13.02682,V-pl,N-pl,1
6.1100745,V-sg,N-pl,1
13.440466,V-pl,N-pl,1
6.005729,V-sg,N-pl,1
13.663983,V-pl,N-pl,1
6.5741377,V-sg,N-pl,1
13.70751,V-pl,N-pl,1
5.4876294,V-sg,N-pl,1
12.391579,V-pl,N-pl,1
5.223003,V-sg,N-pl,1
12.688911,V-pl,N-pl,1
4.0577793,V-sg,N-pl,1
9.33537,V-pl,N-pl,1
5.330305,V-sg,N-pl,1
11.16884,V-pl,N-pl,1
4.251197,V-sg,N-pl,1
10.982034,V-pl,N-pl,1
4.901333,V-sg,N-pl,1
11.726249,V-pl,N-pl,1
4.3036866,V-sg,N-pl,1
10.644869,V-pl,N-pl,1
4.4062247,V-sg,N-pl,1
11.730674,V-pl,N-pl,1
2.4362617,V-sg,N-pl,1
9.217858,V-pl,N-pl,1
4.638391,V-sg,N-pl,1
11.560922,V-pl,N-pl,1
5.132646,V-sg,N-pl,1
10.725395,V-pl,N-pl,1
2.5952275,V-sg,N-pl,1
11.945371,V-pl,N-pl,1
3.014066,V-sg,N-pl,1
11.034358,V-pl,N-pl,1
3.0567985,V-sg,N-pl,1
12.142148,V-pl,N-pl,1
3.721879,V-sg,N-pl,1
11.255284,V-pl,N-pl,1
4.4291797,V-sg,N-pl,1
12.822855,V-pl,N-pl,1
13.932833,V-sg,N-sg,1
8.23751,V-pl,N-sg,1
12.86492,V-sg,N-sg,1
7.2837167,V-pl,N-sg,1
15.55147,V-sg,N-sg,1
8.848142,V-pl,N-sg,1
14.867302,V-sg,N-sg,1
9.218812,V-pl,N-sg,1
14.163511,V-sg,N-sg,1
8.015886,V-pl,N-sg,1
11.818611,V-sg,N-sg,1
6.166492,V-pl,N-sg,1
9.436919,V-sg,N-sg,1
3.81634,V-pl,N-sg,1
9.535549,V-sg,N-sg,1
6.9278736,V-pl,N-sg,1
9.5924835,V-sg,N-sg,1
4.398285,V-pl,N-sg,1
9.242962,V-sg,N-sg,1
6.0731153,V-pl,N-sg,1
9.815014,V-sg,N-sg,1
5.330311,V-pl,N-sg,1
8.5479355,V-sg,N-sg,1
3.6828675,V-pl,N-sg,1
8.146133,V-sg,N-sg,1
3.1320722,V-pl,N-sg,1
8.753612,V-sg,N-sg,1
3.915182,V-pl,N-sg,1
10.845333,V-sg,N-sg,1
6.275898,V-pl,N-sg,1
8.337978,V-sg,N-sg,1
5.3539724,V-pl,N-sg,1
9.504119,V-sg,N-sg,1
3.8248162,V-pl,N-sg,1
8.59067,V-sg,N-sg,1
4.8219805,V-pl,N-sg,1
9.761132,V-sg,N-sg,1
4.266768,V-pl,N-sg,1
8.933964,V-sg,N-sg,1
5.250245,V-pl,N-sg,1
0.7444644,V-sg,N-pl,2
8.984979,V-pl,N-pl,2
0.7148237,V-sg,N-pl,2
9.261614,V-pl,N-pl,2
1.1012088,V-sg,N-pl,2
9.645838,V-pl,N-pl,2
0.5325452,V-sg,N-pl,2
9.632105,V-pl,N-pl,2
0.902181,V-sg,N-pl,2
9.120956,V-pl,N-pl,2
0.9742798,V-sg,N-pl,2
9.202632,V-pl,N-pl,2
0.27778596,V-sg,N-pl,2
7.9327893,V-pl,N-pl,2
0.27793097,V-sg,N-pl,2
10.090845,V-pl,N-pl,2
0.39150998,V-sg,N-pl,2
8.688669,V-pl,N-pl,2
0.27856866,V-sg,N-pl,2
9.172835,V-pl,N-pl,2
0.3877334,V-sg,N-pl,2
8.531323,V-pl,N-pl,2
0.27710503,V-sg,N-pl,2
9.272356,V-pl,N-pl,2
0.17421725,V-sg,N-pl,2
8.160945,V-pl,N-pl,2
0.46538934,V-sg,N-pl,2
9.450356,V-pl,N-pl,2
0.40609,V-sg,N-pl,2
9.25734,V-pl,N-pl,2
0.2894317,V-sg,N-pl,2
9.707047,V-pl,N-pl,2
0.13228916,V-sg,N-pl,2
9.703003,V-pl,N-pl,2
0.36013293,V-sg,N-pl,2
9.889186,V-pl,N-pl,2
0.43899438,V-sg,N-pl,2
8.624344,V-pl,N-pl,2
