Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
8.580176,V-sg,N-pl,1
4.05251,V-pl,N-pl,1
9.590584,V-sg,N-pl,1
4.543037,V-pl,N-pl,1
8.276283,V-sg,N-pl,1
3.0262425,V-pl,N-pl,1
10.280869,V-sg,N-pl,1
5.6831827,V-pl,N-pl,1
8.187376,V-sg,N-pl,1
3.4674392,V-pl,N-pl,1
8.395224,V-sg,N-pl,1
3.7626472,V-pl,N-pl,1
8.019047,V-sg,N-pl,1
0.24726748,V-pl,N-pl,1
5.1646743,V-sg,N-pl,1
0.6393359,V-pl,N-pl,1
3.4696498,V-sg,N-pl,1
0.34650138,V-pl,N-pl,1
6.121168,V-sg,N-pl,1
0.17873158,V-pl,N-pl,1
5.5718994,V-sg,N-pl,1
0.8400235,V-pl,N-pl,1
7.1578326,V-sg,N-pl,1
0.13419311,V-pl,N-pl,1
6.3206854,V-sg,N-pl,1
0.22561467,V-pl,N-pl,1
6.1322494,V-sg,N-pl,1
0.2470555,V-pl,N-pl,1
6.3794956,V-sg,N-pl,1
0.77875954,V-pl,N-pl,1
0.34867978,V-sg,N-pl,1
6.4019213,V-pl,N-pl,1
6.468382,V-sg,N-pl,1
0.15194064,V-pl,N-pl,1
0.2356863,V-sg,N-pl,1
7.4127703,V-pl,N-pl,1
4.328098,V-sg,N-pl,1
0.2728225,V-pl,N-pl,1
0.42181724,V-sg,N-pl,1
2.9453573,V-pl,N-pl,1
4.7063017,V-sg,N-sg,1
13.673892,V-pl,N-sg,1
6.477875,V-sg,N-sg,1
13.78127,V-pl,N-sg,1
3.6939082,V-sg,N-sg,1
11.667546,V-pl,N-sg,1
8.0585375,V-sg,N-sg,1
13.016193,V-pl,N-sg,1
4.8331323,V-sg,N-sg,1
13.606931,V-pl,N-sg,1
5.322686,V-sg,N-sg,1
12.435404,V-pl,N-sg,1
0.22614023,V-sg,N-sg,1
11.154762,V-pl,N-sg,1
0.57108986,V-sg,N-sg,1
12.511138,V-pl,N-sg,1
0.21645087,V-sg,N-sg,1
11.808063,V-pl,N-sg,1
0.20175515,V-sg,N-sg,1
12.491685,V-pl,N-sg,1
0.27339682,V-sg,N-sg,1
11.456599,V-pl,N-sg,1
0.19429125,V-sg,N-sg,1
12.468162,V-pl,N-sg,1
0.21032915,V-sg,N-sg,1
12.862318,V-pl,N-sg,1
0.22887227,V-sg,N-sg,1
11.056008,V-pl,N-sg,1
0.68346435,V-sg,N-sg,1
12.410133,V-pl,N-sg,1
0.297859,V-sg,N-sg,1
10.846379,V-pl,N-sg,1
0.18639101,V-sg,N-sg,1
12.778256,V-pl,N-sg,1
0.20082255,V-sg,N-sg,1
11.761456,V-pl,N-sg,1
0.19359592,V-sg,N-sg,1
11.547425,V-pl,N-sg,1
0.24994813,V-sg,N-sg,1
10.358114,V-pl,N-sg,1
7.270173,V-sg,N-pl,2
1.6757107,V-pl,N-pl,2
8.105152,V-sg,N-pl,2
1.7526199,V-pl,N-pl,2
8.298505,V-sg,N-pl,2
1.1459589,V-pl,N-pl,2
7.390546,V-sg,N-pl,2
1.2983322,V-pl,N-pl,2
7.1797047,V-sg,N-pl,2
1.3757542,V-pl,N-pl,2
7.4293923,V-sg,N-pl,2
1.2497439,V-pl,N-pl,2
6.245167,V-sg,N-pl,2
0.266153,V-pl,N-pl,2
5.0724254,V-sg,N-pl,2
0.2996041,V-pl,N-pl,2
3.838764,V-sg,N-pl,2
0.47793803,V-pl,N-pl,2
5.5152173,V-sg,N-pl,2
0.39374152,V-pl,N-pl,2
3.0656695,V-sg,N-pl,2
0.68201596,V-pl,N-pl,2
5.8036723,V-sg,N-pl,2
0.336432,V-pl,N-pl,2
5.192968,V-sg,N-pl,2
0.3977531,V-pl,N-pl,2
2.063211,V-sg,N-pl,2
1.1233478,V-pl,N-pl,2
5.5828857,V-sg,N-pl,2
0.3676808,V-pl,N-pl,2
0.67845607,V-sg,N-pl,2
4.0576787,V-pl,N-pl,2
5.641383,V-sg,N-pl,2
0.32468134,V-pl,N-pl,2
0.62032044,V-sg,N-pl,2
4.512683,V-pl,N-pl,2
3.7401252,V-sg,N-pl,2
0.6586542,V-pl,N-pl,2
1.9694695,V-sg,N-pl,2
1.0961691,V-pl,N-pl,2
0.9040661,V-sg,N-sg,2
9.303431,V-pl,N-sg,2
1.3585513,V-sg,N-sg,2
9.301647,V-pl,N-sg,2
0.91359127,V-sg,N-sg,2
7.523178,V-pl,N-sg,2
1.5017188,V-sg,N-sg,2
7.718534,V-pl,N-sg,2
1.0364572,V-sg,N-sg,2
9.02801,V-pl,N-sg,2
1.0443511,V-sg,N-sg,2
8.441708,V-pl,N-sg,2
0.38169324,V-sg,N-sg,2
5.9400215,V-pl,N-sg,2
0.19100088,V-sg,N-sg,2
8.924119,V-pl,N-sg,2
0.37161866,V-sg,N-sg,2
6.8076096,V-pl,N-sg,2
0.40553996,V-sg,N-sg,2
6.9616575,V-pl,N-sg,2
0.46296614,V-sg,N-sg,2
6.1754537,V-pl,N-sg,2
0.38873267,V-sg,N-sg,2
6.3263416,V-pl,N-sg,2
0.35134268,V-sg,N-sg,2
6.978455,V-pl,N-sg,2
0.47972038,V-sg,N-sg,2
5.986441,V-pl,N-sg,2
0.29552796,V-sg,N-sg,2
8.348233,V-pl,N-sg,2
0.5285488,V-sg,N-sg,2
5.412943,V-pl,N-sg,2
0.32710984,V-sg,N-sg,2
7.3599896,V-pl,N-sg,2
0.52628005,V-sg,N-sg,2
6.2870345,V-pl,N-sg,2
0.53351986,V-sg,N-sg,2
6.3580093,V-pl,N-sg,2
0.40273896,V-sg,N-sg,2
6.2036147,V-pl,N-sg,2
5.566833,V-sg,N-pl,3
2.0357294,V-pl,N-pl,3
6.8743577,V-sg,N-pl,3
2.7603428,V-pl,N-pl,3
6.676024,V-sg,N-pl,3
1.3759307,V-pl,N-pl,3
7.147055,V-sg,N-pl,3
3.157788,V-pl,N-pl,3
5.8828917,V-sg,N-pl,3
2.217677,V-pl,N-pl,3
6.5328627,V-sg,N-pl,3
2.7398431,V-pl,N-pl,3
6.1626606,V-sg,N-pl,3
0.09495607,V-pl,N-pl,3
4.418336,V-sg,N-pl,3
0.18574505,V-pl,N-pl,3
3.2510364,V-sg,N-pl,3
0.38028958,V-pl,N-pl,3
4.507952,V-sg,N-pl,3
0.21437782,V-pl,N-pl,3
1.8871381,V-sg,N-pl,3
0.7042511,V-pl,N-pl,3
5.111655,V-sg,N-pl,3
0.16478053,V-pl,N-pl,3
5.5735693,V-sg,N-pl,3
0.12152927,V-pl,N-pl,3
1.5177453,V-sg,N-pl,3
0.9867247,V-pl,N-pl,3
4.761119,V-sg,N-pl,3
0.23201624,V-pl,N-pl,3
0.41170385,V-sg,N-pl,3
3.6563096,V-pl,N-pl,3
4.269574,V-sg,N-pl,3
0.20664227,V-pl,N-pl,3
0.3634817,V-sg,N-pl,3
3.973641,V-pl,N-pl,3
3.462245,V-sg,N-pl,3
0.33998397,V-pl,N-pl,3
1.910517,V-sg,N-pl,3
0.78733546,V-pl,N-pl,3
1.307875,V-sg,N-sg,3
8.2919655,V-pl,N-sg,3
2.8950288,V-sg,N-sg,3
9.103129,V-pl,N-sg,3
0.8225452,V-sg,N-sg,3
6.8190985,V-pl,N-sg,3
4.3889585,V-sg,N-sg,3
8.298541,V-pl,N-sg,3
2.812875,V-sg,N-sg,3
8.664608,V-pl,N-sg,3
3.150125,V-sg,N-sg,3
8.006414,V-pl,N-sg,3
0.139636,V-sg,N-sg,3
5.3183475,V-pl,N-sg,3
0.15489036,V-sg,N-sg,3
5.694679,V-pl,N-sg,3
0.17701681,V-sg,N-sg,3
5.9666543,V-pl,N-sg,3
0.15377593,V-sg,N-sg,3
6.1981006,V-pl,N-sg,3
0.18025143,V-sg,N-sg,3
5.530819,V-pl,N-sg,3
0.1577238,V-sg,N-sg,3
5.903151,V-pl,N-sg,3
0.08544734,V-sg,N-sg,3
7.0296497,V-pl,N-sg,3
0.23329873,V-sg,N-sg,3
4.9682918,V-pl,N-sg,3
0.15637343,V-sg,N-sg,3
6.064266,V-pl,N-sg,3
0.4165375,V-sg,N-sg,3
4.3176036,V-pl,N-sg,3
0.12442967,V-sg,N-sg,3
6.5747848,V-pl,N-sg,3
0.21810575,V-sg,N-sg,3
5.329631,V-pl,N-sg,3
0.19446245,V-sg,N-sg,3
5.494909,V-pl,N-sg,3
0.18813753,V-sg,N-sg,3
5.4806247,V-pl,N-sg,3
5.854535,V-sg,N-pl,4
3.8276472,V-pl,N-pl,4
