Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
7.758512,V-sg,N-pl,1
2.4621186,V-pl,N-pl,1
8.131047,V-sg,N-pl,1
2.927988,V-pl,N-pl,1
7.7931123,V-sg,N-pl,1
1.4723386,V-pl,N-pl,1
7.5524144,V-sg,N-pl,1
4.0107884,V-pl,N-pl,1
6.989083,V-sg,N-pl,1
1.8653601,V-pl,N-pl,1
7.336253,V-sg,N-pl,1
2.625523,V-pl,N-pl,1
5.990772,V-sg,N-pl,1
0.94574463,V-pl,N-pl,1
10.575485,V-sg,N-pl,1
3.4387007,V-pl,N-pl,1
5.3842773,V-sg,N-pl,1
0.96544737,V-pl,N-pl,1
7.0613933,V-sg,N-pl,1
1.1832492,V-pl,N-pl,1
6.3652735,V-sg,N-pl,1
0.83275235,V-pl,N-pl,1
6.9563584,V-sg,N-pl,1
1.2253997,V-pl,N-pl,1
6.714727,V-sg,N-pl,1
0.87848485,V-pl,N-pl,1
7.5684047,V-sg,N-pl,1
1.2561295,V-pl,N-pl,1
13.541067,V-sg,N-pl,1
5.047672,V-pl,N-pl,1
7.055147,V-sg,N-pl,1
1.9635144,V-pl,N-pl,1
7.4591274,V-sg,N-pl,1
1.3243179,V-pl,N-pl,1
6.532604,V-sg,N-pl,1
1.1174965,V-pl,N-pl,1
8.092842,V-sg,N-pl,1
1.6214452,V-pl,N-pl,1
7.473348,V-sg,N-pl,1
1.2968953,V-pl,N-pl,1
2.189157,V-sg,N-sg,1
10.617574,V-pl,N-sg,1
2.4460788,V-sg,N-sg,1
10.295603,V-pl,N-sg,1
1.4651304,V-sg,N-sg,1
8.642757,V-pl,N-sg,1
5.695128,V-sg,N-sg,1
10.316187,V-pl,N-sg,1
1.7025893,V-sg,N-sg,1
9.388029,V-pl,N-sg,1
2.0287654,V-sg,N-sg,1
8.804214,V-pl,N-sg,1
0.8479348,V-sg,N-sg,1
8.441958,V-pl,N-sg,1
2.364325,V-sg,N-sg,1
11.824629,V-pl,N-sg,1
0.8511978,V-sg,N-sg,1
8.063143,V-pl,N-sg,1
0.70972204,V-sg,N-sg,1
7.9607296,V-pl,N-sg,1
0.7206058,V-sg,N-sg,1
8.379119,V-pl,N-sg,1
0.8643709,V-sg,N-sg,1
