Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
7.827141,V-sg,N-pl,1
3.3573203,V-pl,N-pl,1
9.152538,V-sg,N-pl,1
5.0355353,V-pl,N-pl,1
8.33802,V-sg,N-pl,1
3.8536875,V-pl,N-pl,1
12.645963,V-sg,N-pl,1
10.256401,V-pl,N-pl,1
7.374147,V-sg,N-pl,1
3.454547,V-pl,N-pl,1
8.229231,V-sg,N-pl,1
4.879468,V-pl,N-pl,1
7.1550903,V-sg,N-pl,1
0.63860154,V-pl,N-pl,1
9.338261,V-sg,N-pl,1
2.5449326,V-pl,N-pl,1
2.843994,V-sg,N-pl,1
0.6651981,V-pl,N-pl,1
6.8416567,V-sg,N-pl,1
0.60205895,V-pl,N-pl,1
5.4556313,V-sg,N-pl,1
0.5267185,V-pl,N-pl,1
7.0518956,V-sg,N-pl,1
0.63986516,V-pl,N-pl,1
6.8591204,V-sg,N-pl,1
0.62760925,V-pl,N-pl,1
7.31126,V-sg,N-pl,1
0.7376579,V-pl,N-pl,1
12.592021,V-sg,N-pl,1
4.4341025,V-pl,N-pl,1
5.958494,V-sg,N-pl,1
0.7915686,V-pl,N-pl,1
7.372515,V-sg,N-pl,1
0.53795785,V-pl,N-pl,1
6.161659,V-sg,N-pl,1
0.43615285,V-pl,N-pl,1
7.6157026,V-sg,N-pl,1
0.6472616,V-pl,N-pl,1
7.1312127,V-sg,N-pl,1
0.55490685,V-pl,N-pl,1
3.38102,V-sg,N-sg,1
12.286508,V-pl,N-sg,1
5.2127843,V-sg,N-sg,1
12.847586,V-pl,N-sg,1
4.007979,V-sg,N-sg,1
10.933299,V-pl,N-sg,1
10.17514,V-sg,N-sg,1
14.492819,V-pl,N-sg,1
2.4076772,V-sg,N-sg,1
10.600348,V-pl,N-sg,1
4.0598397,V-sg,N-sg,1
10.696318,V-pl,N-sg,1
0.70154274,V-sg,N-sg,1
10.302881,V-pl,N-sg,1
1.7086701,V-sg,N-sg,1
12.2119255,V-pl,N-sg,1
