Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
16.200943,V-sg,N-pl,1
15.796256,V-pl,N-pl,1
16.375685,V-sg,N-pl,1
15.753314,V-pl,N-pl,1
16.123096,V-sg,N-pl,1
15.936859,V-pl,N-pl,1
16.260248,V-sg,N-pl,1
16.0548,V-pl,N-pl,1
15.909781,V-sg,N-pl,1
15.599891,V-pl,N-pl,1
15.973258,V-sg,N-pl,1
15.975811,V-pl,N-pl,1
16.370375,V-sg,N-pl,1
16.117662,V-pl,N-pl,1
15.965848,V-sg,N-pl,1
15.763576,V-pl,N-pl,1
16.08207,V-sg,N-pl,1
15.976873,V-pl,N-pl,1
16.108671,V-sg,N-pl,1
15.963202,V-pl,N-pl,1
16.071785,V-sg,N-pl,1
15.770551,V-pl,N-pl,1
16.081858,V-sg,N-pl,1
16.009981,V-pl,N-pl,1
16.141953,V-sg,N-pl,1
16.13168,V-pl,N-pl,1
16.111176,V-sg,N-pl,1
15.91471,V-pl,N-pl,1
15.973705,V-sg,N-pl,1
15.94941,V-pl,N-pl,1
16.3444,V-sg,N-pl,1
16.154615,V-pl,N-pl,1
15.9960575,V-sg,N-pl,1
15.813574,V-pl,N-pl,1
16.177776,V-sg,N-pl,1
15.913393,V-pl,N-pl,1
16.42335,V-sg,N-pl,1
15.951548,V-pl,N-pl,1
15.929315,V-sg,N-pl,1
16.043003,V-pl,N-pl,1
16.056284,V-sg,N-sg,1
15.837753,V-pl,N-sg,1
15.962372,V-sg,N-sg,1
15.8174515,V-pl,N-sg,1
15.966904,V-sg,N-sg,1
15.767108,V-pl,N-sg,1
16.103367,V-sg,N-sg,1
16.030554,V-pl,N-sg,1
16.360723,V-sg,N-sg,1
15.855795,V-pl,N-sg,1
16.242935,V-sg,N-sg,1
15.918633,V-pl,N-sg,1
16.190695,V-sg,N-sg,1
15.873294,V-pl,N-sg,1
16.175152,V-sg,N-sg,1
15.845462,V-pl,N-sg,1
16.202337,V-sg,N-sg,1
15.970541,V-pl,N-sg,1
16.057037,V-sg,N-sg,1
15.87092,V-pl,N-sg,1
16.25453,V-sg,N-sg,1
15.8572855,V-pl,N-sg,1
16.217672,V-sg,N-sg,1
15.744624,V-pl,N-sg,1
16.21728,V-sg,N-sg,1
16.072557,V-pl,N-sg,1
16.140575,V-sg,N-sg,1
15.606415,V-pl,N-sg,1
16.25334,V-sg,N-sg,1
15.804687,V-pl,N-sg,1
15.994252,V-sg,N-sg,1
15.557043,V-pl,N-sg,1
16.392826,V-sg,N-sg,1
16.077044,V-pl,N-sg,1
15.997507,V-sg,N-sg,1
15.4719305,V-pl,N-sg,1
16.042824,V-sg,N-sg,1
15.782191,V-pl,N-sg,1
15.953863,V-sg,N-sg,1
16.04569,V-pl,N-sg,1
16.29622,V-sg,N-pl,2
16.153315,V-pl,N-pl,2
16.373709,V-sg,N-pl,2
16.044733,V-pl,N-pl,2
16.039371,V-sg,N-pl,2
16.09925,V-pl,N-pl,2
16.203972,V-sg,N-pl,2
16.05987,V-pl,N-pl,2
15.822396,V-sg,N-pl,2
15.92313,V-pl,N-pl,2
15.940676,V-sg,N-pl,2
16.248608,V-pl,N-pl,2
16.393362,V-sg,N-pl,2
16.34887,V-pl,N-pl,2
16.030752,V-sg,N-pl,2
15.893644,V-pl,N-pl,2
16.15263,V-sg,N-pl,2
16.27377,V-pl,N-pl,2
16.102013,V-sg,N-pl,2
15.9671955,V-pl,N-pl,2
16.044956,V-sg,N-pl,2
16.057274,V-pl,N-pl,2
15.994866,V-sg,N-pl,2
16.20482,V-pl,N-pl,2
16.042658,V-sg,N-pl,2
16.534693,V-pl,N-pl,2
15.948646,V-sg,N-pl,2
16.067593,V-pl,N-pl,2
16.01468,V-sg,N-pl,2
16.213526,V-pl,N-pl,2
16.2843,V-sg,N-pl,2
16.3117,V-pl,N-pl,2
16.017502,V-sg,N-pl,2
16.236782,V-pl,N-pl,2
16.260038,V-sg,N-pl,2
16.212772,V-pl,N-pl,2
16.4694,V-sg,N-pl,2
15.9931965,V-pl,N-pl,2
16.052898,V-sg,N-pl,2
16.241047,V-pl,N-pl,2
15.988671,V-sg,N-sg,2
16.240435,V-pl,N-sg,2
16.07665,V-sg,N-sg,2
15.939718,V-pl,N-sg,2
16.108643,V-sg,N-sg,2
15.872198,V-pl,N-sg,2
16.155304,V-sg,N-sg,2
16.195435,V-pl,N-sg,2
16.342028,V-sg,N-sg,2
15.967319,V-pl,N-sg,2
16.303558,V-sg,N-sg,2
16.036392,V-pl,N-sg,2
16.20222,V-sg,N-sg,2
16.126463,V-pl,N-sg,2
16.338873,V-sg,N-sg,2
15.974248,V-pl,N-sg,2
16.208149,V-sg,N-sg,2
16.253468,V-pl,N-sg,2
16.152775,V-sg,N-sg,2
16.14557,V-pl,N-sg,2
16.154997,V-sg,N-sg,2
16.082167,V-pl,N-sg,2
16.339544,V-sg,N-sg,2
15.899027,V-pl,N-sg,2
16.22143,V-sg,N-sg,2
16.19886,V-pl,N-sg,2
16.297728,V-sg,N-sg,2
15.777141,V-pl,N-sg,2
16.380144,V-sg,N-sg,2
15.908193,V-pl,N-sg,2
16.07107,V-sg,N-sg,2
15.742639,V-pl,N-sg,2
16.447285,V-sg,N-sg,2
16.19753,V-pl,N-sg,2
16.101854,V-sg,N-sg,2
15.583568,V-pl,N-sg,2
15.997031,V-sg,N-sg,2
16.12698,V-pl,N-sg,2
16.149681,V-sg,N-sg,2
16.293211,V-pl,N-sg,2
16.286617,V-sg,N-pl,3
16.25428,V-pl,N-pl,3
16.329601,V-sg,N-pl,3
16.102304,V-pl,N-pl,3
16.053242,V-sg,N-pl,3
16.35424,V-pl,N-pl,3
16.224924,V-sg,N-pl,3
16.147804,V-pl,N-pl,3
15.906587,V-sg,N-pl,3
16.136566,V-pl,N-pl,3
15.862589,V-sg,N-pl,3
16.272558,V-pl,N-pl,3
16.274708,V-sg,N-pl,3
16.432224,V-pl,N-pl,3
15.973509,V-sg,N-pl,3
16.13525,V-pl,N-pl,3
16.172052,V-sg,N-pl,3
16.398207,V-pl,N-pl,3
15.986452,V-sg,N-pl,3
16.10179,V-pl,N-pl,3
15.88655,V-sg,N-pl,3
16.194159,V-pl,N-pl,3
15.968756,V-sg,N-pl,3
16.229721,V-pl,N-pl,3
15.836452,V-sg,N-pl,3
16.570833,V-pl,N-pl,3
15.919157,V-sg,N-pl,3
16.0376,V-pl,N-pl,3
16.00166,V-sg,N-pl,3
16.179968,V-pl,N-pl,3
16.179846,V-sg,N-pl,3
16.27862,V-pl,N-pl,3
15.981376,V-sg,N-pl,3
16.296875,V-pl,N-pl,3
16.055,V-sg,N-pl,3
16.196432,V-pl,N-pl,3
16.401678,V-sg,N-pl,3
16.061583,V-pl,N-pl,3
15.872366,V-sg,N-pl,3
16.296206,V-pl,N-pl,3
15.96366,V-sg,N-sg,3
16.17049,V-pl,N-sg,3
15.929777,V-sg,N-sg,3
16.146431,V-pl,N-sg,3
15.977673,V-sg,N-sg,3
15.963138,V-pl,N-sg,3
15.998944,V-sg,N-sg,3
16.204895,V-pl,N-sg,3
16.122553,V-sg,N-sg,3
16.315445,V-pl,N-sg,3
16.120794,V-sg,N-sg,3
16.050604,V-pl,N-sg,3
16.156012,V-sg,N-sg,3
16.173035,V-pl,N-sg,3
16.12619,V-sg,N-sg,3
16.075611,V-pl,N-sg,3
16.073719,V-sg,N-sg,3
16.321379,V-pl,N-sg,3
16.031048,V-sg,N-sg,3
16.34118,V-pl,N-sg,3
16.187302,V-sg,N-sg,3
16.210556,V-pl,N-sg,3
16.20604,V-sg,N-sg,3
16.009726,V-pl,N-sg,3
16.174627,V-sg,N-sg,3
16.255016,V-pl,N-sg,3
16.08472,V-sg,N-sg,3
15.930363,V-pl,N-sg,3
16.19375,V-sg,N-sg,3
16.064438,V-pl,N-sg,3
16.068712,V-sg,N-sg,3
15.921716,V-pl,N-sg,3
16.265427,V-sg,N-sg,3
16.279186,V-pl,N-sg,3
16.057766,V-sg,N-sg,3
15.943926,V-pl,N-sg,3
15.955694,V-sg,N-sg,3
16.216091,V-pl,N-sg,3
16.075815,V-sg,N-sg,3
16.34044,V-pl,N-sg,3
16.30771,V-sg,N-pl,4
16.27558,V-pl,N-pl,4
16.471514,V-sg,N-pl,4
16.080782,V-pl,N-pl,4
16.255526,V-sg,N-pl,4
16.236307,V-pl,N-pl,4
16.376057,V-sg,N-pl,4
16.221457,V-pl,N-pl,4
15.995152,V-sg,N-pl,4
16.031239,V-pl,N-pl,4
16.058943,V-sg,N-pl,4
16.203268,V-pl,N-pl,4
16.373833,V-sg,N-pl,4
16.474604,V-pl,N-pl,4
16.091608,V-sg,N-pl,4
16.090551,V-pl,N-pl,4
16.262062,V-sg,N-pl,4
16.380384,V-pl,N-pl,4
16.183716,V-sg,N-pl,4
16.142557,V-pl,N-pl,4
16.128725,V-sg,N-pl,4
16.289318,V-pl,N-pl,4
16.15634,V-sg,N-pl,4
16.272816,V-pl,N-pl,4
15.98386,V-sg,N-pl,4
16.474472,V-pl,N-pl,4
16.044725,V-sg,N-pl,4
16.206572,V-pl,N-pl,4
16.031748,V-sg,N-pl,4
16.264774,V-pl,N-pl,4
16.319637,V-sg,N-pl,4
16.271784,V-pl,N-pl,4
16.14963,V-sg,N-pl,4
16.314796,V-pl,N-pl,4
16.10466,V-sg,N-pl,4
16.168373,V-pl,N-pl,4
16.515625,V-sg,N-pl,4
16.124735,V-pl,N-pl,4
16.017967,V-sg,N-pl,4
16.246023,V-pl,N-pl,4
16.103085,V-sg,N-sg,4
16.167204,V-pl,N-sg,4
16.056297,V-sg,N-sg,4
16.174112,V-pl,N-sg,4
16.141819,V-sg,N-sg,4
15.996868,V-pl,N-sg,4
16.139942,V-sg,N-sg,4
16.170837,V-pl,N-sg,4
16.268713,V-sg,N-sg,4
16.377045,V-pl,N-sg,4
16.247875,V-sg,N-sg,4
16.24301,V-pl,N-sg,4
16.214895,V-sg,N-sg,4
16.186563,V-pl,N-sg,4
16.242933,V-sg,N-sg,4
16.20338,V-pl,N-sg,4
16.40568,V-sg,N-sg,4
16.253147,V-pl,N-sg,4
16.231653,V-sg,N-sg,4
16.431196,V-pl,N-sg,4
16.309416,V-sg,N-sg,4
16.271923,V-pl,N-sg,4
16.219206,V-sg,N-sg,4
15.982063,V-pl,N-sg,4
16.263887,V-sg,N-sg,4
16.334717,V-pl,N-sg,4
16.150436,V-sg,N-sg,4
15.983717,V-pl,N-sg,4
16.34605,V-sg,N-sg,4
