SentenceID, Surprisal, Condition, EmbeddingLevel
1,16.511774,wh-ngap,1
2,16.665506,wh-ngap,1
3,16.377981,wh-ngap,1
4,16.970129,wh-ngap,1
5,16.824436,wh-ngap,1
6,16.250479,wh-ngap,1
7,16.963243,wh-ngap,1
8,16.779787,wh-ngap,1
9,16.756622,wh-ngap,1
10,16.636627,wh-ngap,1
1,16.373898,wh-gap,1
2,16.486137,wh-gap,1
3,16.182438,wh-gap,1
4,16.571121,wh-gap,1
5,16.383862,wh-gap,1
6,16.197273,wh-gap,1
7,16.768127,wh-gap,1
8,16.613144,wh-gap,1
9,16.50204,wh-gap,1
10,16.501894,wh-gap,1
1,16.431837,nwh-ngap,1
2,16.589434,nwh-ngap,1
3,16.397509,nwh-ngap,1
4,16.766005,nwh-ngap,1
5,16.952227,nwh-ngap,1
6,16.140627,nwh-ngap,1
7,17.045898,nwh-ngap,1
8,16.69212,nwh-ngap,1
9,16.805477,nwh-ngap,1
10,16.566511,nwh-ngap,1
1,16.307459,nwh-gap,1
2,16.374575,nwh-gap,1
3,16.27172,nwh-gap,1
4,16.338652,nwh-gap,1
5,16.423256,nwh-gap,1
6,16.121336,nwh-gap,1
7,16.725866,nwh-gap,1
8,16.534826,nwh-gap,1
9,16.292044,nwh-gap,1
10,16.370369,nwh-gap,1
1,16.81644,wh-ngap,2
2,16.93342,wh-ngap,2
3,16.366049,wh-ngap,2
4,16.897875,wh-ngap,2
5,16.481516,wh-ngap,2
6,16.952942,wh-ngap,2
7,17.336786,wh-ngap,2
8,16.929953,wh-ngap,2
9,17.121927,wh-ngap,2
10,17.366026,wh-ngap,2
1,16.879364,wh-gap,2
2,16.853172,wh-gap,2
3,16.428532,wh-gap,2
4,16.896606,wh-gap,2
5,16.706001,wh-gap,2
6,16.996948,wh-gap,2
7,16.902067,wh-gap,2
8,16.804228,wh-gap,2
9,16.696514,wh-gap,2
10,17.004906,wh-gap,2
1,16.748825,nwh-ngap,2
2,16.467812,nwh-ngap,2
3,16.368587,nwh-ngap,2
4,16.637691,nwh-ngap,2
5,16.535192,nwh-ngap,2
6,16.788788,nwh-ngap,2
7,17.35958,nwh-ngap,2
8,16.730862,nwh-ngap,2
9,16.594625,nwh-ngap,2
10,16.89709,nwh-ngap,2
1,16.786123,nwh-gap,2
2,16.67563,nwh-gap,2
3,16.340752,nwh-gap,2
4,16.710415,nwh-gap,2
5,16.826889,nwh-gap,2
6,16.862797,nwh-gap,2
7,16.894457,nwh-gap,2
8,16.878965,nwh-gap,2
9,16.47194,nwh-gap,2
10,16.847649,nwh-gap,2
1,16.94544,wh-ngap,3
2,17.2799,wh-ngap,3
3,17.219444,wh-ngap,3
4,17.396925,wh-ngap,3
5,16.90962,wh-ngap,3
6,17.375843,wh-ngap,3
7,17.690191,wh-ngap,3
8,17.451422,wh-ngap,3
9,17.300951,wh-ngap,3
10,17.36918,wh-ngap,3
1,16.71066,wh-gap,3
2,17.108168,wh-gap,3
3,17.232943,wh-gap,3
4,17.03353,wh-gap,3
5,16.665422,wh-gap,3
6,17.046194,wh-gap,3
7,17.247044,wh-gap,3
8,17.041061,wh-gap,3
9,16.990982,wh-gap,3
10,16.843908,wh-gap,3
1,16.86875,nwh-ngap,3
2,16.90838,nwh-ngap,3
3,17.228807,nwh-ngap,3
4,17.260527,nwh-ngap,3
5,16.994442,nwh-ngap,3
6,17.265541,nwh-ngap,3
7,17.645693,nwh-ngap,3
8,17.352057,nwh-ngap,3
9,16.90479,nwh-ngap,3
10,17.21487,nwh-ngap,3
