SentenceID, Surprisal, Condition, EmbeddingLevel
1,15.74013,wh-ngap,1
2,16.406578,wh-ngap,1
3,15.626939,wh-ngap,1
4,16.016264,wh-ngap,1
5,15.734838,wh-ngap,1
6,15.713524,wh-ngap,1
7,15.266389,wh-ngap,1
8,15.734408,wh-ngap,1
9,16.472683,wh-ngap,1
10,15.52262,wh-ngap,1
1,15.65265,wh-gap,1
2,16.144772,wh-gap,1
3,15.846076,wh-gap,1
4,16.01125,wh-gap,1
5,15.800629,wh-gap,1
6,15.996535,wh-gap,1
7,15.607031,wh-gap,1
8,15.705264,wh-gap,1
9,16.191917,wh-gap,1
10,15.399637,wh-gap,1
1,16.307953,nwh-ngap,1
2,16.8843,nwh-ngap,1
3,16.37592,nwh-ngap,1
4,16.18574,nwh-ngap,1
5,16.0899,nwh-ngap,1
6,16.367334,nwh-ngap,1
7,16.06216,nwh-ngap,1
8,16.238731,nwh-ngap,1
9,16.432495,nwh-ngap,1
10,16.15848,nwh-ngap,1
1,17.079632,nwh-gap,1
2,17.069494,nwh-gap,1
3,16.985023,nwh-gap,1
4,17.114937,nwh-gap,1
5,16.918617,nwh-gap,1
6,17.068157,nwh-gap,1
7,16.930653,nwh-gap,1
8,16.307707,nwh-gap,1
9,17.142338,nwh-gap,1
10,16.577402,nwh-gap,1
1,15.191868,wh-ngap,2
2,15.485256,wh-ngap,2
3,15.521294,wh-ngap,2
4,15.279849,wh-ngap,2
5,15.010529,wh-ngap,2
6,14.997141,wh-ngap,2
7,15.714857,wh-ngap,2
8,15.201716,wh-ngap,2
9,16.034512,wh-ngap,2
10,15.6681185,wh-ngap,2
1,15.75555,wh-gap,2
2,15.650148,wh-gap,2
3,16.19724,wh-gap,2
4,15.822757,wh-gap,2
5,15.3303585,wh-gap,2
6,15.298822,wh-gap,2
7,15.655788,wh-gap,2
8,15.429392,wh-gap,2
9,16.316813,wh-gap,2
10,15.483542,wh-gap,2
1,16.493866,nwh-ngap,2
2,16.11096,nwh-ngap,2
3,16.288897,nwh-ngap,2
4,16.531017,nwh-ngap,2
5,15.826207,nwh-ngap,2
6,15.764303,nwh-ngap,2
7,16.049116,nwh-ngap,2
8,15.702339,nwh-ngap,2
9,16.248453,nwh-ngap,2
10,15.876882,nwh-ngap,2
1,16.374105,nwh-gap,2
2,15.845714,nwh-gap,2
3,16.519445,nwh-gap,2
4,16.423225,nwh-gap,2
