Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
7.0897055,V-sg,N-pl,1
2.7968423,V-pl,N-pl,1
6.9170113,V-sg,N-pl,1
2.5845232,V-pl,N-pl,1
8.388234,V-sg,N-pl,1
2.6110473,V-pl,N-pl,1
7.4844923,V-sg,N-pl,1
2.7635272,V-pl,N-pl,1
8.126852,V-sg,N-pl,1
2.8539243,V-pl,N-pl,1
8.016676,V-sg,N-pl,1
2.5892665,V-pl,N-pl,1
7.4572897,V-sg,N-pl,1
2.4554949,V-pl,N-pl,1
8.29918,V-sg,N-pl,1
2.6935475,V-pl,N-pl,1
8.249818,V-sg,N-pl,1
3.0904925,V-pl,N-pl,1
7.9590216,V-sg,N-pl,1
2.5364993,V-pl,N-pl,1
8.094584,V-sg,N-pl,1
3.1137795,V-pl,N-pl,1
8.203239,V-sg,N-pl,1
2.8969834,V-pl,N-pl,1
8.380429,V-sg,N-pl,1
2.7351277,V-pl,N-pl,1
8.091464,V-sg,N-pl,1
2.8098407,V-pl,N-pl,1
7.0857215,V-sg,N-pl,1
2.308269,V-pl,N-pl,1
7.596559,V-sg,N-pl,1
3.388405,V-pl,N-pl,1
7.732521,V-sg,N-pl,1
2.5654137,V-pl,N-pl,1
7.9417496,V-sg,N-pl,1
2.769194,V-pl,N-pl,1
7.496626,V-sg,N-pl,1
2.5532668,V-pl,N-pl,1
6.743813,V-sg,N-pl,1
2.441946,V-pl,N-pl,1
2.7968564,V-sg,N-sg,1
10.570153,V-pl,N-sg,1
2.7741685,V-sg,N-sg,1
10.526475,V-pl,N-sg,1
2.6756754,V-sg,N-sg,1
10.367752,V-pl,N-sg,1
2.94591,V-sg,N-sg,1
10.029768,V-pl,N-sg,1
3.2937932,V-sg,N-sg,1
10.580663,V-pl,N-sg,1
3.107728,V-sg,N-sg,1
10.679466,V-pl,N-sg,1
2.7321699,V-sg,N-sg,1
10.536428,V-pl,N-sg,1
2.987084,V-sg,N-sg,1
10.652546,V-pl,N-sg,1
2.9440184,V-sg,N-sg,1
10.546984,V-pl,N-sg,1
2.8824503,V-sg,N-sg,1
10.790405,V-pl,N-sg,1
3.2295508,V-sg,N-sg,1
10.802643,V-pl,N-sg,1
2.9012814,V-sg,N-sg,1
10.44974,V-pl,N-sg,1
3.048678,V-sg,N-sg,1
10.924163,V-pl,N-sg,1
3.2731698,V-sg,N-sg,1
10.730579,V-pl,N-sg,1
2.708368,V-sg,N-sg,1
10.120782,V-pl,N-sg,1
3.3040051,V-sg,N-sg,1
10.621616,V-pl,N-sg,1
2.9243953,V-sg,N-sg,1
10.909872,V-pl,N-sg,1
3.0224268,V-sg,N-sg,1
10.7109375,V-pl,N-sg,1
2.8910053,V-sg,N-sg,1
10.683366,V-pl,N-sg,1
2.573759,V-sg,N-sg,1
10.27681,V-pl,N-sg,1
5.931792,V-sg,N-pl,2
2.110739,V-pl,N-pl,2
5.4741597,V-sg,N-pl,2
2.1072624,V-pl,N-pl,2
7.6435637,V-sg,N-pl,2
1.8899983,V-pl,N-pl,2
6.4470024,V-sg,N-pl,2
2.3504694,V-pl,N-pl,2
7.327603,V-sg,N-pl,2
1.9245191,V-pl,N-pl,2
6.802132,V-sg,N-pl,2
1.8587948,V-pl,N-pl,2
6.5538235,V-sg,N-pl,2
1.9753975,V-pl,N-pl,2
6.6976323,V-sg,N-pl,2
2.0043938,V-pl,N-pl,2
6.612282,V-sg,N-pl,2
2.4529214,V-pl,N-pl,2
6.0237627,V-sg,N-pl,2
2.0842872,V-pl,N-pl,2
6.129549,V-sg,N-pl,2
2.5432734,V-pl,N-pl,2
6.7917957,V-sg,N-pl,2
2.1778176,V-pl,N-pl,2
7.1072226,V-sg,N-pl,2
2.2275817,V-pl,N-pl,2
7.101158,V-sg,N-pl,2
1.9973843,V-pl,N-pl,2
6.5017476,V-sg,N-pl,2
1.7785814,V-pl,N-pl,2
5.6005316,V-sg,N-pl,2
2.6638937,V-pl,N-pl,2
6.40429,V-sg,N-pl,2
2.009459,V-pl,N-pl,2
6.3311677,V-sg,N-pl,2
2.1881855,V-pl,N-pl,2
6.4647264,V-sg,N-pl,2
1.8413594,V-pl,N-pl,2
6.000009,V-sg,N-pl,2
2.084407,V-pl,N-pl,2
1.9373987,V-sg,N-sg,2
9.652491,V-pl,N-sg,2
1.9413854,V-sg,N-sg,2
9.3954935,V-pl,N-sg,2
2.1598952,V-sg,N-sg,2
9.815253,V-pl,N-sg,2
2.5156803,V-sg,N-sg,2
9.514576,V-pl,N-sg,2
2.1412678,V-sg,N-sg,2
9.935731,V-pl,N-sg,2
2.1849682,V-sg,N-sg,2
9.818587,V-pl,N-sg,2
2.2960527,V-sg,N-sg,2
9.921428,V-pl,N-sg,2
2.442757,V-sg,N-sg,2
9.667052,V-pl,N-sg,2
2.4862604,V-sg,N-sg,2
9.833998,V-pl,N-sg,2
2.4525323,V-sg,N-sg,2
9.847258,V-pl,N-sg,2
2.7504163,V-sg,N-sg,2
9.899644,V-pl,N-sg,2
2.4216304,V-sg,N-sg,2
9.831161,V-pl,N-sg,2
2.52603,V-sg,N-sg,2
10.039102,V-pl,N-sg,2
2.5678449,V-sg,N-sg,2
9.664361,V-pl,N-sg,2
1.9610755,V-sg,N-sg,2
9.559187,V-pl,N-sg,2
2.6225765,V-sg,N-sg,2
9.863866,V-pl,N-sg,2
2.4363017,V-sg,N-sg,2
9.90299,V-pl,N-sg,2
2.5046384,V-sg,N-sg,2
9.833169,V-pl,N-sg,2
2.2147155,V-sg,N-sg,2
9.808402,V-pl,N-sg,2
2.2768726,V-sg,N-sg,2
9.342756,V-pl,N-sg,2
5.5318894,V-sg,N-pl,3
1.511887,V-pl,N-pl,3
5.37978,V-sg,N-pl,3
1.5345448,V-pl,N-pl,3
6.538841,V-sg,N-pl,3
1.3413763,V-pl,N-pl,3
4.6467605,V-sg,N-pl,3
1.4660006,V-pl,N-pl,3
6.384306,V-sg,N-pl,3
1.4025435,V-pl,N-pl,3
6.2644925,V-sg,N-pl,3
1.3563223,V-pl,N-pl,3
5.116177,V-sg,N-pl,3
1.3558823,V-pl,N-pl,3
5.815909,V-sg,N-pl,3
1.3142892,V-pl,N-pl,3
5.405888,V-sg,N-pl,3
1.6319666,V-pl,N-pl,3
5.5281267,V-sg,N-pl,3
1.2382244,V-pl,N-pl,3
5.4336767,V-sg,N-pl,3
1.5465277,V-pl,N-pl,3
6.248002,V-sg,N-pl,3
1.4012171,V-pl,N-pl,3
5.479552,V-sg,N-pl,3
1.3432066,V-pl,N-pl,3
5.9531326,V-sg,N-pl,3
1.3607502,V-pl,N-pl,3
5.855672,V-sg,N-pl,3
1.371443,V-pl,N-pl,3
4.8321548,V-sg,N-pl,3
1.7924038,V-pl,N-pl,3
5.1775737,V-sg,N-pl,3
1.3464277,V-pl,N-pl,3
5.394867,V-sg,N-pl,3
1.3482718,V-pl,N-pl,3
5.6469235,V-sg,N-pl,3
1.3877633,V-pl,N-pl,3
5.1197696,V-sg,N-pl,3
1.5271977,V-pl,N-pl,3
1.5507257,V-sg,N-sg,3
7.5859904,V-pl,N-sg,3
1.5568807,V-sg,N-sg,3
7.202953,V-pl,N-sg,3
1.506159,V-sg,N-sg,3
7.563779,V-pl,N-sg,3
1.4895158,V-sg,N-sg,3
7.252008,V-pl,N-sg,3
1.4920707,V-sg,N-sg,3
7.119167,V-pl,N-sg,3
