SentenceID, Surprisal, Condition, EmbeddingLevel
1,8.256872,wh-ngap,1
2,9.105013,wh-ngap,1
3,7.515807,wh-ngap,1
4,11.936363,wh-ngap,1
5,8.940683,wh-ngap,1
6,8.617155,wh-ngap,1
7,8.039069,wh-ngap,1
8,6.4530277,wh-ngap,1
9,7.364571,wh-ngap,1
10,7.895532,wh-ngap,1
1,6.5155616,wh-gap,1
2,8.376003,wh-gap,1
3,6.2335534,wh-gap,1
4,6.831672,wh-gap,1
5,9.583685,wh-gap,1
6,7.480464,wh-gap,1
7,6.227564,wh-gap,1
8,6.801162,wh-gap,1
9,8.337746,wh-gap,1
10,13.012004,wh-gap,1
1,4.3590674,nwh-ngap,1
2,5.391567,nwh-ngap,1
3,4.8949475,nwh-ngap,1
4,5.6396284,nwh-ngap,1
5,5.883323,nwh-ngap,1
6,5.3982663,nwh-ngap,1
7,4.5276337,nwh-ngap,1
8,4.893454,nwh-ngap,1
9,6.813099,nwh-ngap,1
10,5.085692,nwh-ngap,1
1,12.684795,nwh-gap,1
2,12.93322,nwh-gap,1
3,12.691798,nwh-gap,1
4,12.963011,nwh-gap,1
5,12.624933,nwh-gap,1
6,12.304105,nwh-gap,1
7,12.761711,nwh-gap,1
8,12.242272,nwh-gap,1
9,12.2753315,nwh-gap,1
10,12.964079,nwh-gap,1
1,7.1168365,wh-ngap,2
2,8.924395,wh-ngap,2
3,7.1601677,wh-ngap,2
4,11.078693,wh-ngap,2
5,8.380059,wh-ngap,2
6,7.543471,wh-ngap,2
7,8.66545,wh-ngap,2
8,6.952802,wh-ngap,2
9,7.1000195,wh-ngap,2
10,7.967803,wh-ngap,2
1,5.8406014,wh-gap,2
2,8.68043,wh-gap,2
3,6.325688,wh-gap,2
4,6.0795465,wh-gap,2
5,8.103277,wh-gap,2
6,6.5881705,wh-gap,2
7,6.495289,wh-gap,2
8,6.850606,wh-gap,2
9,8.744744,wh-gap,2
10,12.907709,wh-gap,2
1,5.2515793,nwh-ngap,2
2,6.953286,nwh-ngap,2
3,6.0278788,nwh-ngap,2
4,5.7321057,nwh-ngap,2
5,6.7003756,nwh-ngap,2
6,5.8363075,nwh-ngap,2
7,5.236687,nwh-ngap,2
