SentenceID, Surprisal, Condition, EmbeddingLevel
1,6.792126,wh-ngap,1
2,8.5248165,wh-ngap,1
3,6.3565197,wh-ngap,1
4,11.069451,wh-ngap,1
5,9.265814,wh-ngap,1
6,7.4030457,wh-ngap,1
7,7.548152,wh-ngap,1
8,7.8911934,wh-ngap,1
9,7.202611,wh-ngap,1
10,9.049164,wh-ngap,1
1,6.6705723,wh-gap,1
2,8.193898,wh-gap,1
3,6.632956,wh-gap,1
4,7.036297,wh-gap,1
5,9.290091,wh-gap,1
6,7.045164,wh-gap,1
7,6.479802,wh-gap,1
8,8.33834,wh-gap,1
9,7.7739162,wh-gap,1
10,13.037621,wh-gap,1
1,4.9917707,nwh-ngap,1
2,5.123606,nwh-ngap,1
3,5.259242,nwh-ngap,1
4,5.35454,nwh-ngap,1
5,6.450843,nwh-ngap,1
6,5.7133064,nwh-ngap,1
7,5.0633593,nwh-ngap,1
8,5.5383387,nwh-ngap,1
9,6.4490685,nwh-ngap,1
10,5.813607,nwh-ngap,1
1,12.674349,nwh-gap,1
2,12.536467,nwh-gap,1
3,12.411353,nwh-gap,1
4,12.714394,nwh-gap,1
5,13.113168,nwh-gap,1
6,12.543391,nwh-gap,1
7,12.469595,nwh-gap,1
8,12.730002,nwh-gap,1
9,12.11635,nwh-gap,1
10,12.230783,nwh-gap,1
1,6.2974253,wh-ngap,2
2,8.532061,wh-ngap,2
3,7.42023,wh-ngap,2
4,10.382996,wh-ngap,2
5,8.200099,wh-ngap,2
6,7.172421,wh-ngap,2
7,6.8562675,wh-ngap,2
8,7.6935143,wh-ngap,2
9,7.146739,wh-ngap,2
10,7.734121,wh-ngap,2
1,6.130705,wh-gap,2
2,8.68705,wh-gap,2
3,6.659162,wh-gap,2
4,6.4058475,wh-gap,2
5,8.514105,wh-gap,2
6,7.0273323,wh-gap,2
7,6.6543694,wh-gap,2
8,7.9119062,wh-gap,2
9,6.882518,wh-gap,2
10,10.891596,wh-gap,2
