Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
10.037863,V-sg,N-pl,1
9.77014,V-pl,N-pl,1
10.072843,V-sg,N-pl,1
9.797268,V-pl,N-pl,1
10.078806,V-sg,N-pl,1
9.678823,V-pl,N-pl,1
10.06603,V-sg,N-pl,1
9.70878,V-pl,N-pl,1
10.046985,V-sg,N-pl,1
9.606508,V-pl,N-pl,1
10.076442,V-sg,N-pl,1
9.643555,V-pl,N-pl,1
10.11649,V-sg,N-pl,1
9.677617,V-pl,N-pl,1
10.090539,V-sg,N-pl,1
9.733943,V-pl,N-pl,1
10.022162,V-sg,N-pl,1
9.63237,V-pl,N-pl,1
9.980169,V-sg,N-pl,1
9.857694,V-pl,N-pl,1
10.116388,V-sg,N-pl,1
9.765081,V-pl,N-pl,1
10.048044,V-sg,N-pl,1
9.740366,V-pl,N-pl,1
10.036659,V-sg,N-pl,1
9.705798,V-pl,N-pl,1
10.038752,V-sg,N-pl,1
9.63648,V-pl,N-pl,1
10.050017,V-sg,N-pl,1
9.886704,V-pl,N-pl,1
10.126073,V-sg,N-pl,1
9.861122,V-pl,N-pl,1
10.078465,V-sg,N-pl,1
9.8027,V-pl,N-pl,1
10.098551,V-sg,N-pl,1
9.716569,V-pl,N-pl,1
10.00481,V-sg,N-pl,1
9.716632,V-pl,N-pl,1
10.079376,V-sg,N-pl,1
9.763769,V-pl,N-pl,1
10.007997,V-sg,N-sg,1
9.943352,V-pl,N-sg,1
10.083803,V-sg,N-sg,1
9.851458,V-pl,N-sg,1
10.075957,V-sg,N-sg,1
9.804281,V-pl,N-sg,1
10.13007,V-sg,N-sg,1
9.844296,V-pl,N-sg,1
10.059023,V-sg,N-sg,1
9.825691,V-pl,N-sg,1
10.089734,V-sg,N-sg,1
9.740251,V-pl,N-sg,1
10.087674,V-sg,N-sg,1
9.7451105,V-pl,N-sg,1
10.090058,V-sg,N-sg,1
9.743918,V-pl,N-sg,1
10.02846,V-sg,N-sg,1
9.669452,V-pl,N-sg,1
10.072336,V-sg,N-sg,1
9.923667,V-pl,N-sg,1
10.127328,V-sg,N-sg,1
9.727391,V-pl,N-sg,1
10.077576,V-sg,N-sg,1
9.78537,V-pl,N-sg,1
10.0633955,V-sg,N-sg,1
9.734245,V-pl,N-sg,1
10.087864,V-sg,N-sg,1
9.705547,V-pl,N-sg,1
10.065789,V-sg,N-sg,1
9.914403,V-pl,N-sg,1
10.143141,V-sg,N-sg,1
9.784747,V-pl,N-sg,1
10.092399,V-sg,N-sg,1
9.702693,V-pl,N-sg,1
10.101309,V-sg,N-sg,1
9.75944,V-pl,N-sg,1
10.072114,V-sg,N-sg,1
9.840897,V-pl,N-sg,1
10.1304035,V-sg,N-sg,1
9.840948,V-pl,N-sg,1
9.96193,V-sg,N-pl,2
9.751343,V-pl,N-pl,2
10.041904,V-sg,N-pl,2
9.751287,V-pl,N-pl,2
10.057942,V-sg,N-pl,2
9.744287,V-pl,N-pl,2
10.015641,V-sg,N-pl,2
9.808516,V-pl,N-pl,2
10.02689,V-sg,N-pl,2
9.70144,V-pl,N-pl,2
10.045821,V-sg,N-pl,2
9.707207,V-pl,N-pl,2
10.002064,V-sg,N-pl,2
9.721501,V-pl,N-pl,2
10.026033,V-sg,N-pl,2
9.838579,V-pl,N-pl,2
9.955003,V-sg,N-pl,2
9.776761,V-pl,N-pl,2
9.993949,V-sg,N-pl,2
9.852671,V-pl,N-pl,2
10.029832,V-sg,N-pl,2
9.814075,V-pl,N-pl,2
10.003465,V-sg,N-pl,2
9.757397,V-pl,N-pl,2
10.016972,V-sg,N-pl,2
9.753222,V-pl,N-pl,2
9.981989,V-sg,N-pl,2
9.703763,V-pl,N-pl,2
9.9865,V-sg,N-pl,2
9.864176,V-pl,N-pl,2
10.036243,V-sg,N-pl,2
9.86409,V-pl,N-pl,2
10.012624,V-sg,N-pl,2
9.823236,V-pl,N-pl,2
10.026471,V-sg,N-pl,2
9.855775,V-pl,N-pl,2
9.997448,V-sg,N-pl,2
9.71834,V-pl,N-pl,2
9.971115,V-sg,N-pl,2
9.737684,V-pl,N-pl,2
