Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
10.238769,V-sg,N-pl,1
9.841668,V-pl,N-pl,1
10.177839,V-sg,N-pl,1
9.866921,V-pl,N-pl,1
10.221984,V-sg,N-pl,1
10.062906,V-pl,N-pl,1
10.228856,V-sg,N-pl,1
10.031901,V-pl,N-pl,1
10.239215,V-sg,N-pl,1
10.065848,V-pl,N-pl,1
10.231028,V-sg,N-pl,1
9.961776,V-pl,N-pl,1
10.297806,V-sg,N-pl,1
10.082857,V-pl,N-pl,1
10.326532,V-sg,N-pl,1
10.003689,V-pl,N-pl,1
10.318599,V-sg,N-pl,1
9.999628,V-pl,N-pl,1
10.268408,V-sg,N-pl,1
9.977948,V-pl,N-pl,1
10.271326,V-sg,N-pl,1
10.096582,V-pl,N-pl,1
10.291444,V-sg,N-pl,1
10.018146,V-pl,N-pl,1
10.302471,V-sg,N-pl,1
10.0121355,V-pl,N-pl,1
10.284459,V-sg,N-pl,1
9.967857,V-pl,N-pl,1
10.151053,V-sg,N-pl,1
9.964112,V-pl,N-pl,1
10.269947,V-sg,N-pl,1
9.994142,V-pl,N-pl,1
10.232098,V-sg,N-pl,1
10.008601,V-pl,N-pl,1
10.37746,V-sg,N-pl,1
9.979577,V-pl,N-pl,1
10.159874,V-sg,N-pl,1
9.855192,V-pl,N-pl,1
10.183382,V-sg,N-pl,1
10.087661,V-pl,N-pl,1
10.254362,V-sg,N-sg,1
10.000111,V-pl,N-sg,1
10.170258,V-sg,N-sg,1
9.894557,V-pl,N-sg,1
10.184439,V-sg,N-sg,1
10.109353,V-pl,N-sg,1
10.182464,V-sg,N-sg,1
10.133634,V-pl,N-sg,1
10.233553,V-sg,N-sg,1
10.1328,V-pl,N-sg,1
10.228134,V-sg,N-sg,1
9.990853,V-pl,N-sg,1
10.240897,V-sg,N-sg,1
10.06475,V-pl,N-sg,1
10.207062,V-sg,N-sg,1
9.9213,V-pl,N-sg,1
10.28392,V-sg,N-sg,1
9.898696,V-pl,N-sg,1
10.246337,V-sg,N-sg,1
9.975426,V-pl,N-sg,1
10.263793,V-sg,N-sg,1
9.97395,V-pl,N-sg,1
10.251799,V-sg,N-sg,1
9.982107,V-pl,N-sg,1
10.270522,V-sg,N-sg,1
9.908294,V-pl,N-sg,1
10.2152405,V-sg,N-sg,1
10.091792,V-pl,N-sg,1
10.228688,V-sg,N-sg,1
9.870114,V-pl,N-sg,1
10.221628,V-sg,N-sg,1
9.920608,V-pl,N-sg,1
10.145621,V-sg,N-sg,1
9.916958,V-pl,N-sg,1
10.27753,V-sg,N-sg,1
10.008802,V-pl,N-sg,1
10.212302,V-sg,N-sg,1
9.984708,V-pl,N-sg,1
10.23172,V-sg,N-sg,1
10.012154,V-pl,N-sg,1
10.189297,V-sg,N-pl,2
10.183687,V-pl,N-pl,2
10.161848,V-sg,N-pl,2
10.089683,V-pl,N-pl,2
10.193203,V-sg,N-pl,2
10.097091,V-pl,N-pl,2
10.2004,V-sg,N-pl,2
10.128458,V-pl,N-pl,2
10.2002325,V-sg,N-pl,2
10.140731,V-pl,N-pl,2
10.194261,V-sg,N-pl,2
10.05288,V-pl,N-pl,2
10.223926,V-sg,N-pl,2
10.218416,V-pl,N-pl,2
10.253897,V-sg,N-pl,2
10.066134,V-pl,N-pl,2
10.219532,V-sg,N-pl,2
9.965229,V-pl,N-pl,2
10.238788,V-sg,N-pl,2
10.003847,V-pl,N-pl,2
10.204249,V-sg,N-pl,2
10.207028,V-pl,N-pl,2
10.249762,V-sg,N-pl,2
10.213984,V-pl,N-pl,2
10.230394,V-sg,N-pl,2
10.091804,V-pl,N-pl,2
10.243121,V-sg,N-pl,2
10.12656,V-pl,N-pl,2
10.148579,V-sg,N-pl,2
10.020871,V-pl,N-pl,2
10.241278,V-sg,N-pl,2
10.094424,V-pl,N-pl,2
10.188295,V-sg,N-pl,2
10.084997,V-pl,N-pl,2
10.300972,V-sg,N-pl,2
10.088383,V-pl,N-pl,2
10.153894,V-sg,N-pl,2
10.120144,V-pl,N-pl,2
10.152317,V-sg,N-pl,2
10.255904,V-pl,N-pl,2
10.184368,V-sg,N-sg,2
10.144827,V-pl,N-sg,2
10.141698,V-sg,N-sg,2
10.029264,V-pl,N-sg,2
10.148509,V-sg,N-sg,2
10.257188,V-pl,N-sg,2
10.109556,V-sg,N-sg,2
10.225038,V-pl,N-sg,2
10.178646,V-sg,N-sg,2
10.191659,V-pl,N-sg,2
10.176435,V-sg,N-sg,2
10.040441,V-pl,N-sg,2
10.185395,V-sg,N-sg,2
10.217786,V-pl,N-sg,2
10.200226,V-sg,N-sg,2
10.0310955,V-pl,N-sg,2
10.216905,V-sg,N-sg,2
9.938236,V-pl,N-sg,2
10.19966,V-sg,N-sg,2
10.072927,V-pl,N-sg,2
10.195377,V-sg,N-sg,2
10.137536,V-pl,N-sg,2
10.211035,V-sg,N-sg,2
10.135057,V-pl,N-sg,2
10.198458,V-sg,N-sg,2
10.014212,V-pl,N-sg,2
10.154421,V-sg,N-sg,2
10.195055,V-pl,N-sg,2
10.153343,V-sg,N-sg,2
10.0018835,V-pl,N-sg,2
10.179815,V-sg,N-sg,2
10.004874,V-pl,N-sg,2
10.130156,V-sg,N-sg,2
10.03608,V-pl,N-sg,2
10.203766,V-sg,N-sg,2
10.111445,V-pl,N-sg,2
10.130538,V-sg,N-sg,2
10.056895,V-pl,N-sg,2
10.202247,V-sg,N-sg,2
10.174038,V-pl,N-sg,2
10.166672,V-sg,N-pl,3
10.172171,V-pl,N-pl,3
10.160435,V-sg,N-pl,3
10.105824,V-pl,N-pl,3
10.20991,V-sg,N-pl,3
10.139106,V-pl,N-pl,3
10.183293,V-sg,N-pl,3
10.118959,V-pl,N-pl,3
10.200265,V-sg,N-pl,3
10.1590805,V-pl,N-pl,3
10.21666,V-sg,N-pl,3
10.041067,V-pl,N-pl,3
10.20673,V-sg,N-pl,3
10.231727,V-pl,N-pl,3
10.218071,V-sg,N-pl,3
10.139463,V-pl,N-pl,3
10.229235,V-sg,N-pl,3
9.991506,V-pl,N-pl,3
10.239233,V-sg,N-pl,3
10.058885,V-pl,N-pl,3
10.193038,V-sg,N-pl,3
10.165097,V-pl,N-pl,3
10.245002,V-sg,N-pl,3
10.167393,V-pl,N-pl,3
10.209843,V-sg,N-pl,3
10.132229,V-pl,N-pl,3
10.224399,V-sg,N-pl,3
10.1197,V-pl,N-pl,3
10.108998,V-sg,N-pl,3
10.051619,V-pl,N-pl,3
10.251574,V-sg,N-pl,3
10.044876,V-pl,N-pl,3
10.195207,V-sg,N-pl,3
10.272887,V-pl,N-pl,3
10.246736,V-sg,N-pl,3
10.153569,V-pl,N-pl,3
10.127464,V-sg,N-pl,3
10.15924,V-pl,N-pl,3
10.156928,V-sg,N-pl,3
10.197193,V-pl,N-pl,3
10.190005,V-sg,N-sg,3
10.088857,V-pl,N-sg,3
10.163426,V-sg,N-sg,3
10.054017,V-pl,N-sg,3
10.165664,V-sg,N-sg,3
10.241214,V-pl,N-sg,3
10.115504,V-sg,N-sg,3
10.133547,V-pl,N-sg,3
10.164479,V-sg,N-sg,3
10.140432,V-pl,N-sg,3
10.217076,V-sg,N-sg,3
10.000725,V-pl,N-sg,3
10.211872,V-sg,N-sg,3
10.221429,V-pl,N-sg,3
10.172832,V-sg,N-sg,3
10.045664,V-pl,N-sg,3
10.22465,V-sg,N-sg,3
9.938892,V-pl,N-sg,3
10.210064,V-sg,N-sg,3
10.0866995,V-pl,N-sg,3
10.190712,V-sg,N-sg,3
10.107385,V-pl,N-sg,3
10.194897,V-sg,N-sg,3
10.129734,V-pl,N-sg,3
10.1853285,V-sg,N-sg,3
10.01987,V-pl,N-sg,3
10.143975,V-sg,N-sg,3
10.117341,V-pl,N-sg,3
10.119227,V-sg,N-sg,3
9.9987135,V-pl,N-sg,3
10.204501,V-sg,N-sg,3
9.967009,V-pl,N-sg,3
10.152979,V-sg,N-sg,3
10.175769,V-pl,N-sg,3
10.204407,V-sg,N-sg,3
10.06929,V-pl,N-sg,3
10.160421,V-sg,N-sg,3
10.003446,V-pl,N-sg,3
10.207298,V-sg,N-sg,3
10.105019,V-pl,N-sg,3
10.099867,V-sg,N-pl,4
10.236134,V-pl,N-pl,4
10.067414,V-sg,N-pl,4
10.321368,V-pl,N-pl,4
10.125085,V-sg,N-pl,4
10.243623,V-pl,N-pl,4
10.051892,V-sg,N-pl,4
10.159343,V-pl,N-pl,4
10.152931,V-sg,N-pl,4
10.205648,V-pl,N-pl,4
10.119802,V-sg,N-pl,4
10.074251,V-pl,N-pl,4
10.149158,V-sg,N-pl,4
10.191187,V-pl,N-pl,4
10.126207,V-sg,N-pl,4
10.135114,V-pl,N-pl,4
10.158843,V-sg,N-pl,4
10.055328,V-pl,N-pl,4
10.15272,V-sg,N-pl,4
10.168352,V-pl,N-pl,4
10.086205,V-sg,N-pl,4
10.1911545,V-pl,N-pl,4
10.159676,V-sg,N-pl,4
10.148718,V-pl,N-pl,4
10.145065,V-sg,N-pl,4
10.173439,V-pl,N-pl,4
10.134877,V-sg,N-pl,4
10.153454,V-pl,N-pl,4
10.02457,V-sg,N-pl,4
10.206902,V-pl,N-pl,4
10.205706,V-sg,N-pl,4
10.102843,V-pl,N-pl,4
10.109478,V-sg,N-pl,4
10.343672,V-pl,N-pl,4
10.13288,V-sg,N-pl,4
10.132306,V-pl,N-pl,4
10.083266,V-sg,N-pl,4
10.272034,V-pl,N-pl,4
10.104827,V-sg,N-pl,4
10.171529,V-pl,N-pl,4
10.123183,V-sg,N-sg,4
10.142653,V-pl,N-sg,4
10.083444,V-sg,N-sg,4
10.169297,V-pl,N-sg,4
10.1041155,V-sg,N-sg,4
10.2195015,V-pl,N-sg,4
10.04672,V-sg,N-sg,4
10.112721,V-pl,N-sg,4
10.133801,V-sg,N-sg,4
10.204122,V-pl,N-sg,4
10.137052,V-sg,N-sg,4
10.064756,V-pl,N-sg,4
10.161023,V-sg,N-sg,4
10.179565,V-pl,N-sg,4
10.110731,V-sg,N-sg,4
10.090488,V-pl,N-sg,4
10.192853,V-sg,N-sg,4
10.010935,V-pl,N-sg,4
10.157483,V-sg,N-sg,4
10.145458,V-pl,N-sg,4
10.080513,V-sg,N-sg,4
10.176883,V-pl,N-sg,4
10.168748,V-sg,N-sg,4
10.042692,V-pl,N-sg,4
10.160265,V-sg,N-sg,4
10.110635,V-pl,N-sg,4
10.099265,V-sg,N-sg,4
10.053822,V-pl,N-sg,4
10.082111,V-sg,N-sg,4
