SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,1.4756922e-06,19.370176,wh-ngap,1
2,at,5.0118684e-05,14.284292,wh-ngap,1
3,at,3.101866e-06,18.298431,wh-ngap,1
4,at,1.4288298e-07,22.738663,wh-ngap,1
5,at,1.0909914e-05,16.484001,wh-ngap,1
6,at,2.7697836e-06,18.461796,wh-ngap,1
7,at,4.5553776e-08,24.387854,wh-ngap,1
8,at,3.892157e-07,21.292927,wh-ngap,1
9,at,5.329723e-07,20.839436,wh-ngap,1
10,at,4.2830066e-05,14.511017,wh-ngap,1
1,at,9.10121e-08,23.389366,wh-gap,1
2,at,3.5944608e-06,18.085793,wh-gap,1
3,at,2.0748253e-08,25.522434,wh-gap,1
4,at,3.721504e-05,14.713755,wh-gap,1
5,at,1.1538434e-08,26.368977,wh-gap,1
6,at,7.3409886e-08,23.69945,wh-gap,1
7,at,1.1188254e-06,19.769585,wh-gap,1
8,at,7.3073934e-06,17.062212,wh-gap,1
9,at,1.00931295e-07,23.240124,wh-gap,1
10,at,2.394008e-07,21.994068,wh-gap,1
1,at,3.946985e-06,17.950817,nwh-ngap,1
2,at,8.023335e-08,23.571222,nwh-ngap,1
3,at,6.430859e-08,23.890413,nwh-ngap,1
4,at,1.181558e-05,16.36895,nwh-ngap,1
5,at,1.0173795e-05,16.584782,nwh-ngap,1
6,at,2.1275766e-06,18.842358,nwh-ngap,1
7,at,2.7339564e-07,21.802505,nwh-ngap,1
8,at,9.158158e-09,26.702295,nwh-ngap,1
9,at,6.4680353e-06,17.238241,nwh-ngap,1
10,at,4.5510163e-07,21.067308,nwh-ngap,1
1,at,6.693531e-07,20.510729,nwh-gap,1
2,at,4.214976e-08,24.4999,nwh-gap,1
3,at,7.6220665e-08,23.645243,nwh-gap,1
4,at,1.9474555e-06,18.969978,nwh-gap,1
5,at,1.1763095e-06,19.6973,nwh-gap,1
6,at,5.2949786e-06,17.526943,nwh-gap,1
7,at,3.26124e-06,18.226149,nwh-gap,1
8,at,6.082117e-07,20.648924,nwh-gap,1
9,at,4.9595496e-07,20.943287,nwh-gap,1
10,at,7.47455e-07,20.35151,nwh-gap,1
1,at,1.1013874e-06,19.792246,wh-ngap,2
2,at,2.432725e-07,21.970924,wh-ngap,2
3,at,5.591437e-05,14.126421,wh-ngap,2
4,at,1.9262393e-06,18.98578,wh-ngap,2
5,at,4.1769827e-08,24.512964,wh-ngap,2
6,at,1.4377429e-07,22.72969,wh-ngap,2
7,at,2.9974962e-07,21.669739,wh-ngap,2
8,at,1.2689896e-05,16.26596,wh-ngap,2
9,at,1.4840956e-08,26.00584,wh-ngap,2
10,at,4.120962e-07,21.210516,wh-ngap,2
1,at,2.6907338e-07,21.825497,wh-gap,2
2,at,7.905753e-07,20.270594,wh-gap,2
3,at,1.7591252e-07,22.438639,wh-gap,2
4,at,2.0905954e-06,18.867655,wh-gap,2
5,at,4.91035e-09,27.601526,wh-gap,2
6,at,9.105671e-09,26.710588,wh-gap,2
7,at,1.2995808e-07,22.87545,wh-gap,2
8,at,5.507428e-06,17.47019,wh-gap,2
9,at,9.917255e-08,23.265484,wh-gap,2
10,at,5.9668523e-06,17.354599,wh-gap,2
1,at,1.397235e-06,19.448994,nwh-ngap,2
2,at,2.7609237e-06,18.466417,nwh-ngap,2
3,at,4.7973e-07,20.991274,nwh-ngap,2
4,at,4.5010502e-08,24.405163,nwh-ngap,2
5,at,1.9664146e-06,18.956001,nwh-ngap,2
6,at,3.229794e-06,18.240126,nwh-ngap,2
7,at,3.321327e-07,21.521736,nwh-ngap,2
8,at,1.3060002e-08,26.19027,nwh-ngap,2
9,at,1.0126547e-07,23.235353,nwh-ngap,2
10,at,5.0344363e-07,20.921667,nwh-ngap,2
1,at,2.4229655e-08,25.29865,nwh-gap,2
2,at,1.3586889e-07,22.811281,nwh-gap,2
3,at,3.371725e-08,24.821938,nwh-gap,2
4,at,2.700365e-08,25.142271,nwh-gap,2
5,at,8.856025e-09,26.750694,nwh-gap,2
