SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,3.7423342e-05,14.705702,wh-ngap,1
2,at,2.3233028e-05,15.393463,wh-ngap,1
3,at,3.2114796e-05,14.926402,wh-ngap,1
4,at,2.3163937e-05,15.39776,wh-ngap,1
5,at,2.9489798e-05,15.049424,wh-ngap,1
6,at,2.8721583e-05,15.087505,wh-ngap,1
7,at,3.1560816e-05,14.951506,wh-ngap,1
8,at,3.7003916e-05,14.721963,wh-ngap,1
9,at,1.8197725e-05,15.745882,wh-ngap,1
10,at,2.2926422e-05,15.412629,wh-ngap,1
1,at,3.9944054e-05,14.61166,wh-gap,1
2,at,2.7150254e-05,15.168674,wh-gap,1
3,at,3.3547552e-05,14.863433,wh-gap,1
4,at,2.2768709e-05,15.422588,wh-gap,1
5,at,3.4607798e-05,14.818543,wh-gap,1
6,at,3.146035e-05,14.956106,wh-gap,1
7,at,3.4711207e-05,14.814239,wh-gap,1
8,at,3.9561022e-05,14.625561,wh-gap,1
9,at,2.3284272e-05,15.390285,wh-gap,1
10,at,2.5945645e-05,15.234148,wh-gap,1
1,at,3.22866e-05,14.918705,nwh-ngap,1
2,at,3.1703297e-05,14.945007,nwh-ngap,1
3,at,2.4169563e-05,15.336449,nwh-ngap,1
4,at,2.0728425e-05,15.55803,nwh-ngap,1
5,at,2.6525871e-05,15.20224,nwh-ngap,1
6,at,2.3289376e-05,15.389969,nwh-ngap,1
7,at,2.4163937e-05,15.336785,nwh-ngap,1
8,at,4.7221984e-05,14.370182,nwh-ngap,1
9,at,1.9913068e-05,15.615925,nwh-ngap,1
10,at,3.0274652e-05,15.01153,nwh-ngap,1
1,at,3.6042667e-05,14.759934,nwh-gap,1
2,at,3.443159e-05,14.825908,nwh-gap,1
3,at,2.840122e-05,15.103687,nwh-gap,1
4,at,2.154458e-05,15.5023155,nwh-gap,1
5,at,3.3319793e-05,14.873261,nwh-gap,1
6,at,2.7870667e-05,15.130893,nwh-gap,1
7,at,2.880092e-05,15.083526,nwh-gap,1
8,at,4.3635082e-05,14.484152,nwh-gap,1
9,at,2.383964e-05,15.356278,nwh-gap,1
10,at,3.445812e-05,14.824797,nwh-gap,1
1,at,3.5005323e-05,14.802066,wh-ngap,2
2,at,2.1296057e-05,15.519054,wh-ngap,2
3,at,3.6073594e-05,14.7586975,wh-ngap,2
4,at,2.4364594e-05,15.324854,wh-ngap,2
5,at,1.5657433e-05,15.962792,wh-ngap,2
6,at,1.9544037e-05,15.642912,wh-ngap,2
7,at,2.585326e-05,15.239294,wh-ngap,2
8,at,2.5241043e-05,15.273869,wh-ngap,2
9,at,3.2161817e-05,14.924292,wh-ngap,2
10,at,2.2297587e-05,15.452753,wh-ngap,2
1,at,4.2957858e-05,14.506719,wh-gap,2
2,at,2.3401317e-05,15.383051,wh-gap,2
3,at,4.203056e-05,14.538202,wh-gap,2
4,at,2.9719897e-05,15.038212,wh-gap,2
5,at,1.8043414e-05,15.758168,wh-gap,2
6,at,1.9911331e-05,15.616051,wh-gap,2
7,at,2.5559943e-05,15.255755,wh-gap,2
8,at,2.4328783e-05,15.326977,wh-gap,2
9,at,3.2748878e-05,14.898195,wh-gap,2
10,at,2.6403364e-05,15.208919,wh-gap,2
1,at,2.7504904e-05,15.149952,nwh-ngap,2
2,at,2.0939566e-05,15.543409,nwh-ngap,2
3,at,3.0709925e-05,14.990935,nwh-ngap,2
4,at,2.4941444e-05,15.291096,nwh-ngap,2
5,at,1.4166617e-05,16.107145,nwh-ngap,2
6,at,1.9616242e-05,15.637591,nwh-ngap,2
7,at,2.113599e-05,15.529939,nwh-ngap,2
8,at,2.7918424e-05,15.128423,nwh-ngap,2
9,at,2.2066817e-05,15.467762,nwh-ngap,2
10,at,2.0375019e-05,15.582839,nwh-ngap,2
1,at,2.8323459e-05,15.107643,nwh-gap,2
2,at,2.2439077e-05,15.443627,nwh-gap,2
3,at,3.211503e-05,14.926392,nwh-gap,2
4,at,2.8885252e-05,15.079308,nwh-gap,2
5,at,1.573657e-05,15.95552,nwh-gap,2
6,at,1.801686e-05,15.760293,nwh-gap,2
7,at,2.0345586e-05,15.584925,nwh-gap,2
8,at,2.5400383e-05,15.264791,nwh-gap,2
9,at,2.4763765e-05,15.30141,nwh-gap,2
10,at,2.298943e-05,15.408669,nwh-gap,2
1,at,3.361919e-05,14.860355,wh-ngap,3
2,at,1.993378e-05,15.614426,wh-ngap,3
3,at,4.1068724e-05,14.5716,wh-ngap,3
4,at,2.4524483e-05,15.315418,wh-ngap,3
5,at,2.2752456e-05,15.423618,wh-ngap,3
6,at,2.1633256e-05,15.496389,wh-ngap,3
7,at,2.7938544e-05,15.127383,wh-ngap,3
8,at,2.7202095e-05,15.165923,wh-ngap,3
9,at,4.2931264e-05,14.507612,wh-ngap,3
10,at,2.765214e-05,15.142249,wh-ngap,3
1,at,3.7768976e-05,14.692439,wh-gap,3
2,at,1.9052522e-05,15.679659,wh-gap,3
3,at,4.771675e-05,14.3551445,wh-gap,3
4,at,2.7962353e-05,15.126155,wh-gap,3
5,at,2.6234038e-05,15.218201,wh-gap,3
6,at,2.1939028e-05,15.476141,wh-gap,3
7,at,2.8055276e-05,15.121368,wh-gap,3
8,at,2.837802e-05,15.104867,wh-gap,3
9,at,4.37748e-05,14.47954,wh-gap,3
10,at,2.8530447e-05,15.097138,wh-gap,3
1,at,2.6260435e-05,15.216749,nwh-ngap,3
2,at,2.0763233e-05,15.55561,nwh-ngap,3
3,at,3.166682e-05,14.946669,nwh-ngap,3
4,at,2.2170807e-05,15.460979,nwh-ngap,3
5,at,2.0701931e-05,15.5598755,nwh-ngap,3
6,at,1.644614e-05,15.8918915,nwh-ngap,3
7,at,2.2204731e-05,15.458774,nwh-ngap,3
8,at,2.3747574e-05,15.36186,nwh-ngap,3
9,at,4.037489e-05,14.596182,nwh-ngap,3
10,at,3.1278356e-05,14.964476,nwh-ngap,3
1,at,2.7594497e-05,15.14526,nwh-gap,3
2,at,1.980141e-05,15.624038,nwh-gap,3
3,at,3.40464e-05,14.842138,nwh-gap,3
4,at,2.5602509e-05,15.253355,nwh-gap,3
5,at,2.3860925e-05,15.354991,nwh-gap,3
6,at,1.459377e-05,16.064287,nwh-gap,3
7,at,2.0998663e-05,15.539343,nwh-gap,3
8,at,2.2722756e-05,15.425503,nwh-gap,3
9,at,4.4478835e-05,14.456521,nwh-gap,3
10,at,3.3168017e-05,14.879848,nwh-gap,3
1,at,3.1031137e-05,14.975924,wh-ngap,4
2,at,1.7623677e-05,15.792126,wh-ngap,4
3,at,3.4785873e-05,14.811139,wh-ngap,4
4,at,1.674339e-05,15.866049,wh-ngap,4
5,at,2.2683553e-05,15.427994,wh-ngap,4
6,at,2.0830661e-05,15.550932,wh-ngap,4
7,them,1.2320436e-05,16.308588,wh-ngap,4
8,at,1.7797027e-05,15.778005,wh-ngap,4
9,at,4.1002044e-05,14.573945,wh-ngap,4
10,at,2.8419907e-05,15.102738,wh-ngap,4
1,at,3.51145e-05,14.797574,wh-gap,4
2,at,1.7061324e-05,15.838911,wh-gap,4
3,at,4.001548e-05,14.609082,wh-gap,4
4,at,1.775627e-05,15.781312,wh-gap,4
5,at,2.5514013e-05,15.25835,wh-gap,4
6,at,2.140694e-05,15.511561,wh-gap,4
7,at,2.6348443e-05,15.211923,wh-gap,4
8,at,1.7336024e-05,15.815867,wh-gap,4
9,at,4.1823598e-05,14.545323,wh-gap,4
10,at,2.8426153e-05,15.102422,wh-gap,4
1,at,2.617795e-05,15.221289,nwh-ngap,4
2,at,1.8974884e-05,15.68555,nwh-ngap,4
3,at,3.08442e-05,14.984641,nwh-ngap,4
4,at,1.8177676e-05,15.747473,nwh-ngap,4
5,at,2.1806467e-05,15.484884,nwh-ngap,4
6,at,1.7148326e-05,15.831573,nwh-ngap,4
7,at,2.4054874e-05,15.343311,nwh-ngap,4
8,at,2.0629395e-05,15.564939,nwh-ngap,4
9,at,3.8591425e-05,14.66136,nwh-ngap,4
10,at,2.9514284e-05,15.048227,nwh-ngap,4
