SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,yesterday,1.9388084e-05,15.65447,wh-ngap,1
2,today,2.3774888e-05,15.360202,wh-ngap,1
3,repeatedly,1.9528547e-05,15.644056,wh-ngap,1
4,frequently,2.06528e-05,15.563303,wh-ngap,1
5,again,3.1844967e-05,14.938575,wh-ngap,1
6,yesterday,2.223364e-05,15.456896,wh-ngap,1
7,today,2.35352e-05,15.374821,wh-ngap,1
8,repeatedly,2.1224794e-05,15.52389,wh-ngap,1
9,frequently,2.5758221e-05,15.244608,wh-ngap,1
10,again,4.278252e-05,14.512619,wh-ngap,1
1,yesterday,1.8879962e-05,15.692784,wh-gap,1
2,today,2.8191682e-05,15.114371,wh-gap,1
3,repeatedly,1.6570057e-05,15.881062,wh-gap,1
4,frequently,2.0571288e-05,15.569008,wh-gap,1
5,again,3.3225195e-05,14.877363,wh-gap,1
6,yesterday,2.076491e-05,15.555492,wh-gap,1
7,today,1.9568706e-05,15.641092,wh-gap,1
8,repeatedly,2.5897083e-05,15.236851,wh-gap,1
9,frequently,2.8844497e-05,15.081345,wh-gap,1
10,again,4.3194694e-05,14.498786,wh-gap,1
1,yesterday,1.9963856e-05,15.61225,nwh-ngap,1
2,today,8.841765e-06,16.787233,nwh-ngap,1
3,repeatedly,2.7787366e-05,15.135211,nwh-ngap,1
4,frequently,1.9859915e-05,15.619781,nwh-ngap,1
5,again,2.0877886e-05,15.547665,nwh-ngap,1
6,yesterday,2.6494501e-05,15.203947,nwh-ngap,1
7,today,2.1938276e-05,15.476191,nwh-ngap,1
8,repeatedly,1.2660173e-05,16.269344,nwh-ngap,1
9,frequently,2.6887794e-05,15.182689,nwh-ngap,1
10,again,3.8582726e-05,14.661685,nwh-ngap,1
1,yesterday,2.0549862e-05,15.570512,nwh-gap,1
2,today,7.983114e-06,16.934616,nwh-gap,1
3,repeatedly,2.5812029e-05,15.241597,nwh-gap,1
4,frequently,2.1038493e-05,15.536609,nwh-gap,1
5,again,1.7517656e-05,15.800831,nwh-gap,1
6,yesterday,2.6252452e-05,15.217188,nwh-gap,1
7,today,1.8604496e-05,15.713989,nwh-gap,1
8,repeatedly,1.5280646e-05,15.997935,nwh-gap,1
9,frequently,2.6014177e-05,15.230343,nwh-gap,1
10,again,4.087034e-05,14.578587,nwh-gap,1
1,yesterday,1.8431658e-05,15.727454,wh-ngap,2
2,today,2.4272373e-05,15.330325,wh-ngap,2
3,repeatedly,8.443322e-06,16.853758,wh-ngap,2
4,frequently,1.798415e-05,15.762915,wh-ngap,2
5,again,1.867155e-05,15.708798,wh-ngap,2
6,yesterday,1.1402219e-05,16.420326,wh-ngap,2
7,today,1.309061e-05,16.221107,wh-ngap,2
8,yesterday,1.7018363e-05,15.842548,wh-ngap,2
9,frequently,1.4410746e-05,16.082495,wh-ngap,2
10,again,2.5582496e-05,15.254483,wh-ngap,2
1,yesterday,1.6501182e-05,15.887071,wh-gap,2
2,today,2.627168e-05,15.216132,wh-gap,2
3,repeatedly,7.399673e-06,17.044107,wh-gap,2
4,frequently,2.141075e-05,15.511305,wh-gap,2
5,again,1.8236804e-05,15.742787,wh-gap,2
6,yesterday,1.09322455e-05,16.48105,wh-gap,2
7,today,1.0748432e-05,16.505514,wh-gap,2
8,yesterday,2.018229e-05,15.596551,wh-gap,2
9,frequently,1.6370503e-05,15.898541,wh-gap,2
10,again,2.147372e-05,15.507069,wh-gap,2
1,yesterday,1.9450537e-05,15.649831,nwh-ngap,2
2,today,2.2013417e-05,15.471257,nwh-ngap,2
3,repeatedly,9.8360815e-06,16.633486,nwh-ngap,2
4,frequently,1.5346615e-05,15.99172,nwh-ngap,2
5,again,1.777131e-05,15.78009,nwh-ngap,2
6,yesterday,1.29780765e-05,16.233564,nwh-ngap,2
7,today,1.4882337e-05,16.03604,nwh-ngap,2
8,yesterday,1.749169e-05,15.802971,nwh-ngap,2
9,frequently,1.4142901e-05,16.109562,nwh-ngap,2
10,again,3.641498e-05,14.745109,nwh-ngap,2
1,yesterday,1.8092034e-05,15.754286,nwh-gap,2
2,today,2.661266e-05,15.197528,nwh-gap,2
3,repeatedly,7.035686e-06,17.116877,nwh-gap,2
4,frequently,1.5269483e-05,15.998989,nwh-gap,2
5,again,1.4562429e-05,16.067389,nwh-gap,2
6,yesterday,1.212308e-05,16.331884,nwh-gap,2
7,today,1.18625385e-05,16.363228,nwh-gap,2
8,yesterday,1.8628416e-05,15.712135,nwh-gap,2
9,frequently,1.495943e-05,16.028585,nwh-gap,2
10,again,3.4038487e-05,14.842474,nwh-gap,2
1,yesterday,1.1808889e-05,16.369768,wh-ngap,3
2,today,1.6777461e-05,15.863116,wh-ngap,3
3,repeatedly,1.3601932e-05,16.165829,wh-ngap,3
4,frequently,1.811971e-05,15.752081,wh-ngap,3
5,again,2.2149052e-05,15.462396,wh-ngap,3
6,yesterday,1.4910778e-05,16.033285,wh-ngap,3
7,today,9.757163e-06,16.645107,wh-ngap,3
8,yesterday,2.1526512e-05,15.503526,wh-ngap,3
9,frequently,2.1149554e-05,15.529014,wh-ngap,3
10,again,2.8907127e-05,15.078216,wh-ngap,3
1,yesterday,1.1183653e-05,16.44825,wh-gap,3
2,today,1.7416589e-05,15.809178,wh-gap,3
3,repeatedly,1.1505553e-05,16.40731,wh-gap,3
