Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
7.542609,V-sg,N-pl,1
8.741648,V-pl,N-pl,1
7.716664,V-sg,N-pl,1
8.515791,V-pl,N-pl,1
8.6631565,V-sg,N-pl,1
9.974853,V-pl,N-pl,1
7.978527,V-sg,N-pl,1
10.816268,V-pl,N-pl,1
6.2129035,V-sg,N-pl,1
8.101884,V-pl,N-pl,1
6.359677,V-sg,N-pl,1
8.566861,V-pl,N-pl,1
8.958404,V-sg,N-pl,1
12.532352,V-pl,N-pl,1
2.348857,V-sg,N-pl,1
4.8116374,V-pl,N-pl,1
7.475001,V-sg,N-pl,1
12.69984,V-pl,N-pl,1
8.209525,V-sg,N-pl,1
13.160589,V-pl,N-pl,1
8.931918,V-sg,N-pl,1
14.539532,V-pl,N-pl,1
4.3463936,V-sg,N-pl,1
10.631173,V-pl,N-pl,1
10.78756,V-sg,N-pl,1
15.009956,V-pl,N-pl,1
10.739041,V-sg,N-pl,1
14.624385,V-pl,N-pl,1
4.1746063,V-sg,N-pl,1
7.6801577,V-pl,N-pl,1
6.5133386,V-sg,N-pl,1
7.664197,V-pl,N-pl,1
3.7491715,V-sg,N-pl,1
9.681852,V-pl,N-pl,1
2.5293686,V-sg,N-pl,1
8.434257,V-pl,N-pl,1
6.1319304,V-sg,N-pl,1
8.939403,V-pl,N-pl,1
3.1046925,V-sg,N-pl,1
8.871632,V-pl,N-pl,1
5.7707,V-sg,N-sg,1
9.682989,V-pl,N-sg,1
6.8476877,V-sg,N-sg,1
11.49719,V-pl,N-sg,1
6.080584,V-sg,N-sg,1
9.949924,V-pl,N-sg,1
8.249311,V-sg,N-sg,1
12.408067,V-pl,N-sg,1
5.55072,V-sg,N-sg,1
9.0457325,V-pl,N-sg,1
6.30661,V-sg,N-sg,1
9.565965,V-pl,N-sg,1
7.759141,V-sg,N-sg,1
13.146563,V-pl,N-sg,1
1.8570818,V-sg,N-sg,1
8.123836,V-pl,N-sg,1
8.013824,V-sg,N-sg,1
11.024098,V-pl,N-sg,1
7.8246145,V-sg,N-sg,1
11.996534,V-pl,N-sg,1
4.1595774,V-sg,N-sg,1
10.741731,V-pl,N-sg,1
8.8757305,V-sg,N-sg,1
13.04229,V-pl,N-sg,1
10.14526,V-sg,N-sg,1
14.425443,V-pl,N-sg,1
9.199945,V-sg,N-sg,1
13.674456,V-pl,N-sg,1
4.882163,V-sg,N-sg,1
8.940997,V-pl,N-sg,1
8.134397,V-sg,N-sg,1
10.422564,V-pl,N-sg,1
5.151167,V-sg,N-sg,1
8.797001,V-pl,N-sg,1
6.660315,V-sg,N-sg,1
9.058948,V-pl,N-sg,1
5.0382175,V-sg,N-sg,1
8.081733,V-pl,N-sg,1
8.812315,V-sg,N-sg,1
12.136506,V-pl,N-sg,1
2.4082603,V-sg,N-pl,2
0.89478827,V-pl,N-pl,2
5.272443,V-sg,N-pl,2
2.3107584,V-pl,N-pl,2
2.0241036,V-sg,N-pl,2
5.6980877,V-pl,N-pl,2
1.7517346,V-sg,N-pl,2
1.128186,V-pl,N-pl,2
1.8423496,V-sg,N-pl,2
3.0376565,V-pl,N-pl,2
3.5430112,V-sg,N-pl,2
7.9067473,V-pl,N-pl,2
1.6543533,V-sg,N-pl,2
3.6231666,V-pl,N-pl,2
