Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
15.403537,V-sg,N-pl,1
15.337296,V-pl,N-pl,1
15.707579,V-sg,N-pl,1
14.788127,V-pl,N-pl,1
15.370544,V-sg,N-pl,1
15.227776,V-pl,N-pl,1
14.886115,V-sg,N-pl,1
15.252741,V-pl,N-pl,1
15.406397,V-sg,N-pl,1
14.917015,V-pl,N-pl,1
15.428236,V-sg,N-pl,1
15.134416,V-pl,N-pl,1
15.826765,V-sg,N-pl,1
14.862453,V-pl,N-pl,1
15.142056,V-sg,N-pl,1
14.901153,V-pl,N-pl,1
14.769792,V-sg,N-pl,1
14.763706,V-pl,N-pl,1
14.70329,V-sg,N-pl,1
14.304016,V-pl,N-pl,1
14.697878,V-sg,N-pl,1
14.632272,V-pl,N-pl,1
14.941996,V-sg,N-pl,1
14.396758,V-pl,N-pl,1
15.625419,V-sg,N-pl,1
14.852748,V-pl,N-pl,1
15.445357,V-sg,N-pl,1
14.849042,V-pl,N-pl,1
14.8513155,V-sg,N-pl,1
14.949354,V-pl,N-pl,1
14.741204,V-sg,N-pl,1
14.874258,V-pl,N-pl,1
14.589493,V-sg,N-pl,1
14.446155,V-pl,N-pl,1
15.004093,V-sg,N-pl,1
14.486884,V-pl,N-pl,1
15.332315,V-sg,N-pl,1
14.947221,V-pl,N-pl,1
14.622271,V-sg,N-pl,1
14.405957,V-pl,N-pl,1
15.412784,V-sg,N-sg,1
15.202402,V-pl,N-sg,1
15.628918,V-sg,N-sg,1
14.997741,V-pl,N-sg,1
15.48893,V-sg,N-sg,1
14.792556,V-pl,N-sg,1
15.262269,V-sg,N-sg,1
14.925029,V-pl,N-sg,1
15.528491,V-sg,N-sg,1
14.791952,V-pl,N-sg,1
15.210872,V-sg,N-sg,1
15.351881,V-pl,N-sg,1
15.60836,V-sg,N-sg,1
15.178001,V-pl,N-sg,1
14.837216,V-sg,N-sg,1
15.128412,V-pl,N-sg,1
15.19315,V-sg,N-sg,1
15.055233,V-pl,N-sg,1
14.925253,V-sg,N-sg,1
15.0767565,V-pl,N-sg,1
14.525638,V-sg,N-sg,1
15.238253,V-pl,N-sg,1
14.6848,V-sg,N-sg,1
14.425079,V-pl,N-sg,1
15.428447,V-sg,N-sg,1
15.394651,V-pl,N-sg,1
15.263813,V-sg,N-sg,1
14.859161,V-pl,N-sg,1
15.382575,V-sg,N-sg,1
15.547067,V-pl,N-sg,1
14.390935,V-sg,N-sg,1
14.934736,V-pl,N-sg,1
14.941334,V-sg,N-sg,1
14.659318,V-pl,N-sg,1
15.151976,V-sg,N-sg,1
14.639029,V-pl,N-sg,1
14.647285,V-sg,N-sg,1
14.969876,V-pl,N-sg,1
15.250874,V-sg,N-sg,1
14.752021,V-pl,N-sg,1
15.188074,V-sg,N-pl,2
15.16688,V-pl,N-pl,2
15.422581,V-sg,N-pl,2
14.893815,V-pl,N-pl,2
15.2330475,V-sg,N-pl,2
15.176731,V-pl,N-pl,2
14.94418,V-sg,N-pl,2
15.259995,V-pl,N-pl,2
15.25515,V-sg,N-pl,2
14.973974,V-pl,N-pl,2
15.197547,V-sg,N-pl,2
15.258877,V-pl,N-pl,2
15.475388,V-sg,N-pl,2
14.912208,V-pl,N-pl,2
15.244598,V-sg,N-pl,2
14.968403,V-pl,N-pl,2
15.027486,V-sg,N-pl,2
14.914952,V-pl,N-pl,2
15.065014,V-sg,N-pl,2
14.598255,V-pl,N-pl,2
14.975312,V-sg,N-pl,2
14.794664,V-pl,N-pl,2
15.212858,V-sg,N-pl,2
14.670616,V-pl,N-pl,2
15.313095,V-sg,N-pl,2
14.893472,V-pl,N-pl,2
15.284643,V-sg,N-pl,2
14.920227,V-pl,N-pl,2
14.777431,V-sg,N-pl,2
14.810387,V-pl,N-pl,2
14.91831,V-sg,N-pl,2
14.894785,V-pl,N-pl,2
14.81999,V-sg,N-pl,2
14.60167,V-pl,N-pl,2
14.927396,V-sg,N-pl,2
14.705194,V-pl,N-pl,2
15.3039255,V-sg,N-pl,2
14.945803,V-pl,N-pl,2
14.844526,V-sg,N-pl,2
14.722094,V-pl,N-pl,2
15.136767,V-sg,N-sg,2
15.097987,V-pl,N-sg,2
15.354019,V-sg,N-sg,2
15.050081,V-pl,N-sg,2
15.174102,V-sg,N-sg,2
14.951516,V-pl,N-sg,2
15.082601,V-sg,N-sg,2
15.018248,V-pl,N-sg,2
15.370139,V-sg,N-sg,2
14.808282,V-pl,N-sg,2
15.019617,V-sg,N-sg,2
15.378216,V-pl,N-sg,2
15.302665,V-sg,N-sg,2
15.022497,V-pl,N-sg,2
14.942671,V-sg,N-sg,2
14.935055,V-pl,N-sg,2
15.257938,V-sg,N-sg,2
15.058047,V-pl,N-sg,2
15.118921,V-sg,N-sg,2
15.08827,V-pl,N-sg,2
14.712454,V-sg,N-sg,2
15.203569,V-pl,N-sg,2
14.95525,V-sg,N-sg,2
14.667575,V-pl,N-sg,2
15.243701,V-sg,N-sg,2
15.286291,V-pl,N-sg,2
15.012038,V-sg,N-sg,2
14.949683,V-pl,N-sg,2
15.243708,V-sg,N-sg,2
15.389813,V-pl,N-sg,2
14.657602,V-sg,N-sg,2
15.000842,V-pl,N-sg,2
15.016746,V-sg,N-sg,2
14.767918,V-pl,N-sg,2
15.204969,V-sg,N-sg,2
14.717723,V-pl,N-sg,2
14.857851,V-sg,N-sg,2
14.901959,V-pl,N-sg,2
15.337733,V-sg,N-sg,2
14.869829,V-pl,N-sg,2
14.875996,V-sg,N-pl,3
15.487853,V-pl,N-pl,3
15.153547,V-sg,N-pl,3
15.353395,V-pl,N-pl,3
14.986937,V-sg,N-pl,3
15.457617,V-pl,N-pl,3
14.764677,V-sg,N-pl,3
15.598112,V-pl,N-pl,3
14.984523,V-sg,N-pl,3
15.349786,V-pl,N-pl,3
14.906571,V-sg,N-pl,3
15.602303,V-pl,N-pl,3
15.095686,V-sg,N-pl,3
15.309213,V-pl,N-pl,3
15.042585,V-sg,N-pl,3
15.516006,V-pl,N-pl,3
14.828509,V-sg,N-pl,3
15.2734375,V-pl,N-pl,3
14.853416,V-sg,N-pl,3
15.118493,V-pl,N-pl,3
14.726829,V-sg,N-pl,3
15.278486,V-pl,N-pl,3
14.936756,V-sg,N-pl,3
15.144003,V-pl,N-pl,3
14.995336,V-sg,N-pl,3
15.312302,V-pl,N-pl,3
14.976247,V-sg,N-pl,3
15.3499565,V-pl,N-pl,3
14.642182,V-sg,N-pl,3
15.2699585,V-pl,N-pl,3
14.832593,V-sg,N-pl,3
15.280745,V-pl,N-pl,3
14.703506,V-sg,N-pl,3
15.061092,V-pl,N-pl,3
14.666145,V-sg,N-pl,3
15.255905,V-pl,N-pl,3
15.018682,V-sg,N-pl,3
15.326571,V-pl,N-pl,3
14.735253,V-sg,N-pl,3
15.256678,V-pl,N-pl,3
14.925827,V-sg,N-sg,3
15.487352,V-pl,N-sg,3
15.048747,V-sg,N-sg,3
15.411407,V-pl,N-sg,3
14.889661,V-sg,N-sg,3
15.309556,V-pl,N-sg,3
14.845534,V-sg,N-sg,3
15.461047,V-pl,N-sg,3
15.142064,V-sg,N-sg,3
15.262429,V-pl,N-sg,3
14.759349,V-sg,N-sg,3
15.654306,V-pl,N-sg,3
15.029443,V-sg,N-sg,3
15.320919,V-pl,N-sg,3
14.853166,V-sg,N-sg,3
15.346594,V-pl,N-sg,3
15.002056,V-sg,N-sg,3
15.421373,V-pl,N-sg,3
14.863298,V-sg,N-sg,3
15.39181,V-pl,N-sg,3
14.465922,V-sg,N-sg,3
15.517043,V-pl,N-sg,3
14.81865,V-sg,N-sg,3
15.179894,V-pl,N-sg,3
14.989155,V-sg,N-sg,3
15.5628,V-pl,N-sg,3
14.834839,V-sg,N-sg,3
15.42462,V-pl,N-sg,3
15.094521,V-sg,N-sg,3
15.7540865,V-pl,N-sg,3
14.571838,V-sg,N-sg,3
15.440634,V-pl,N-sg,3
14.789661,V-sg,N-sg,3
15.119304,V-pl,N-sg,3
14.978727,V-sg,N-sg,3
15.233341,V-pl,N-sg,3
14.68966,V-sg,N-sg,3
15.352877,V-pl,N-sg,3
15.017124,V-sg,N-sg,3
15.287649,V-pl,N-sg,3
15.362489,V-sg,N-pl,4
15.421565,V-pl,N-pl,4
15.511958,V-sg,N-pl,4
15.284744,V-pl,N-pl,4
15.42658,V-sg,N-pl,4
15.408898,V-pl,N-pl,4
15.229642,V-sg,N-pl,4
15.468934,V-pl,N-pl,4
15.479741,V-sg,N-pl,4
15.326132,V-pl,N-pl,4
15.422393,V-sg,N-pl,4
15.47825,V-pl,N-pl,4
15.593026,V-sg,N-pl,4
15.359671,V-pl,N-pl,4
15.524259,V-sg,N-pl,4
15.48208,V-pl,N-pl,4
15.313803,V-sg,N-pl,4
15.26852,V-pl,N-pl,4
